一目瞭然	一目了然
上鍊	上链
不瞭解	不了解
乾封	乾封
乾信	乾信
乾陟	乾陟
西乾	西乾
乾惠	干慧
乾痟	乾痟
郭子乾	郭子乾
目乾連	目乾连
乾陀山	乾陀山
乾元	乾元
乾卦	乾卦
乾嘉	乾嘉
乾圖	乾图
顛乾倒坤	颠乾倒坤
旋乾轉坤	旋乾转坤
乾坤	乾坤
乾坤一擲	乾坤一掷
乾坤再造	乾坤再造
乾坤大挪移	乾坤大挪移
乾宅	乾宅
乾斷	乾断
乾旦	乾旦
乾曜	乾曜
乾清宮	乾清宫
乾盛世	乾盛世
乾紅	乾红
乾綱	乾纲
乾縣	乾县
乾象	乾象
乾造	乾造
乾道	乾道
乾陵	乾陵
乾隆	乾隆
尼乾陀	尼乾陀
康乾	康乾
張法乾	张法乾
# 乾慧	干慧
# 乾陀羅	干陀罗
# 血氣未乾	血气未干
# 乾飯	干饭
# 乾枯	干枯
# 乾屎	干屎
# 乾蘿蔔	干萝卜
# 拭身令乾	拭身令干
# 乾豆	干豆
# 乾隆年間	乾隆年间
# 乾隆皇帝	乾隆皇帝
# 大目乾連冥間救母變文	大目乾连冥间救母变文
# 乾乾淨淨	干干净净
# 乾乾脆脆	干干脆脆
# 顛倒乾坤	颠倒乾坤
# 壺裏乾坤	壶里乾坤
# 扭轉乾坤	扭转乾坤
# 旋轉乾坤	旋转乾坤
# 旋轉乾坤之力	旋转乾坤之力
# 乾躁	干燥
# 乾脆	干脆
# 餅乾	饼干
# 乾杯	干杯
# 乾著急	干着急
# 乾娘	干娘
以免藉口	以免借口
以功覆過	以功复过
侔德覆載	侔德复载
傢俱	家具
傷亡枕藉	伤亡枕借
八濛山	八濛山
凌藉	凌借
狼藉	狼藉
函覆	函复
千鍾粟	千锺粟
反反覆覆	反反复复
反覆	反复
反覆思維	反复思维
反覆思量	反复思量
反覆性	反复性
名覆金甌	名复金瓯
哪吒	哪吒
回覆	回复
宫商角徵羽	宫商角徵羽
# 射覆	射复
么麽	幺麽
么麼	幺麽
幺麼小丑	幺麽小丑
幺麼小醜	幺麽小丑
# 彷彿	仿佛
彷徨	彷徨
徵弦	徵弦
徵絃	徵弦
徵聲	徵声
徵調	徵调
徵音	徵音
情有獨鍾	情有独钟 情有独锺
憑藉	凭借
憑藉着	凭借着
手鍊	手链
找藉口	找借口
拉鍊	拉链
拉鍊工程	拉链工程
拜覆	拜复
據瞭解	据了解
文錦覆阱	文锦复阱
於世成	於世成
於乎	於乎
於仲完	於仲完
於倫	於伦
於其一	於其一
於則	於则
於勇明	於勇明
於呼哀哉	於呼哀哉
於單	於单
於坦	於坦
於崇文	於崇文
於忠祥	於忠祥
於惟一	於惟一
於戲	於戏
於敖	於敖
於梨華	於梨华
於清言	於清言
於琳	於琳
於穆	於穆
於竹屋	於竹屋
於菟	於菟
於邑	於邑
於陵子	於陵子
於鵲與處	於鹊与处
明瞭	明了
明覆	明复
書中自有千鍾粟	书中自有千锺粟
木吒	木吒
朝乾夕惕	朝乾夕惕
李乾德	李乾德
浪蕩乾坤	浪荡乾坤
蕭乾	萧乾
袖裏乾坤	袖里乾坤
李澤鉅	李泽钜
李鍊福	李链福
李鍾郁	李锺郁
樊於期	樊於期
# 沈疴	沉疴
# 沈吟	沉吟
# 沈溺	沉溺
# 沈空滯寂	沉空滞寂
# 沈淪	沉沦
# 昏沈	昏沉
# 飛沈	飞沉
# 沈困	沉困
# 浮沈	浮沉
# 沈迷	沉迷
# 沈香	沉香
# 沈沒	沉没
# 沈積	沉积
# 沈船	沉船
# 沈默	沉默
沈氏	沈氏
沈君	沈君
沈幾	沈幾
沈垢	沈垢
沈連	沈连
沈泰	沈泰
沈察	沈察
沈位	沈位
沈承	沈承
沈野	沈野
沈寮	沈寮
沈約	沈约
沈珣	沈珣
沈貫	沈贯
沈周	沈周
沈遇	沈遇
沈炯	沈炯
沈遼	沈辽
沈績	沈绩
沈生	沈生
沈萬三	沈万三
沈文龍	沈文龙
沈佺期	沈佺期
沈輝東	沈辉东
沈智元	沈智元
沈義倫	沈义伦
沈明仁	沈明仁
沈傳師	沈传师
沈傅師	沈傅师
沈伯慶	沈伯庆
沈訒卿	沈讱卿
沈令名	沈令名
沈一菴	沈一庵
沈明臣	沈明臣
沈端叔	沈端叔
沈文通	沈文通
沈正行	沈正行
沈德輿	沈德舆
沈恒吉	沈恒吉
沈維明	沈维明
沈繼南	沈继南
沈啟南	沈启南
沈懋學	沈懋學
沈朗倩	沈朗倩
沈朗癯	沈朗癯
梁沈約	梁沈约
沈居士	沈居士
沈令尹	沈令尹
沈中丞	沈中丞
沈大師	沈大师
沈少卿	沈少卿
沈太史	沈太史
周吳沈諸大姓	周吴沈诸大姓
周沈諸居士	周沈诸居士
杜沈諸君	杜沈诸君
姓沈	姓沈
沈翁姪藻	沈翁姪藻
周沈兩家	周沈两家
# 瀋愽	入沈
# 瀋藩	入沈
# 瀋邸	入沈
# 瀋千歲	入沈
# 瀋博迦龍王	入沈
瀋陽	沈阳
瀋王	沈王
入瀋	入沈
到瀋	到沈
在瀋	在沈
住瀋	住沈
瀋南	沈南
瀋內外	沈内外
瀋之人	瀋之人
流徵	流徵
滑藉	滑借
牴牾	抵牾
牴觸	抵触
狐藉虎威	狐借虎威
珍珠項鍊	珍珠项链
甚鉅	甚钜
申覆	申复
畢昇	毕昇
發覆	发复
盼既示覆	盼既示复
瞭如	了如
瞭如指掌	了如指掌
瞭望	瞭望
瞭然	了然
瞭然於心	了然于心
瞭若指掌	了若指掌
瞭解	了解
瞭解到	了解到
示覆	示复
神祇	神祇
僧祇	僧祇
祇樹	祇树
# 三祇	三祇
地神曰祇	地神曰祇
祇是	只是
祇要	只要
祇管	只管
祇有	只有
稟覆	禀复
答覆	答复
篤麼	笃麽
簡單明瞭	简单明了
籌畫	筹划
素藉	素借
老態龍鍾	老态龙钟 老态龙锺
肘手鍊足	肘手链足
茵藉	茵借
萬鍾	万锺
蒜薹	蒜薹
蕓薹	芸薹
蕩覆	荡复
藉代	借代
藉以	借以
藉助	借助
藉助於	借助于
藉卉	借卉
藉口	借口
藉喻	借喻
藉寇兵	借寇兵
藉寇兵齎盜糧	借寇兵赍盗粮
藉手	借手
藉據	借据
藉故	借故
藉故推辭	借故推辞
藉方	借方
藉條	借条
藉槁	借槁
藉機	借机
藉此	借此
藉此機會	借此机会
藉甚	借甚
藉由	借由
藉着	借着
藉端	借端
藉端生事	借端生事
藉箸代籌	借箸代筹
藉草枕塊	借草枕块
藉藉	借借
藉藉无名	藉藉无名
藉詞	借词
藉讀	借读
藉資	借资
衹得	只得
衹見樹木	只见树木
衹見樹木不見森林	只见树木不见森林
覆上	复上
覆住	复住
覆信	复信
覆冒	复冒
覆呈	复呈
覆命	复命
覆墓	复墓
覆宗	复宗
覆帳	复帐
覆幬	复帱
覆成	复成
覆按	复按
覆文	复文
覆杯	复杯
覆校	复校
覆瓿	复瓿
覆盂	复盂
覆盆	覆盆
覆盆子	覆盆子
覆盤	覆盘
