U+7963 祣 ⿰礻⿱𠂉{15}
U+89A7 覧 ⿱{45}見
U+8A67 詧 ⿱{21}言
U+8CAE 貮 ⿹{28}貝
U+8CBF 貿 ⿱{58}貝
U+8FA8 辨 ⿲辛{49}辛
U+2048E 𠒎 ⿹{47}儿
U+20A44 𠩄 ⿸厂⿰{49}亇
U+219A6 𡦦 ⿰⿱{65}子⿱丸火
U+221E0 𢇠 ⿸广{08}
U+22214 𢈔 ⿸广{19}
U+22256 𢉖 ⿸{55}厸
U+22345 𢍅 ⿱⿱⺈𠔿廾
U+22B1C 𢬜 ⿰扌⿱𠂉{15}
U+2353F 𣔿 ⿱{45}木
U+23814 𣠔 ⿳⿱𰀉冖圂木
U+23856 𣡖 ⿳⿱𰀉冖石棐
U+2399E 𣦞 ⿱{36}⿰止攴
U+23F49 𣽉 ⿰氵⿱𤰔⿹勹灬
U+2419A 𤆚 ⿰火{08}
U+24262 𤉢 ⿱⿱⺈𫩏⿹勹灬
U+24277 𤉷 ⿱⿰{20}犬火
U+242B1 𤊱 ⿱⿱⺈𠔿⿹勹灬
U+243CA 𤏊 ⿱⿰{13}力灬
U+2446A 𤑪 ⿳{21}韭灬
U+24595 𤖕 ⿰爿⿱{20}酉
U+24728 𤜨 ⿰犭{08}
U+248E5 𤣥 ⿱亠{27}
U+255E4 𥗤 ⿱⿱𰀉冖磊
U+25972 𥥲 ⿱穴{38}
U+25AA1 𥪡 ⿱{45}立
U+260B3 𦂳 ⿱{45}糸
U+269BB 𦦻 ⿱{64}禺
U+270A2 𧂢 ⿳艹{45}酉
U+272CC 𧋌 ⿱⿱𰀉冖虫
U+2796B 𧥫 ⿰訁{08}
U+27A7E 𧩾 ⿱{45}言
U+27DD4 𧷔 ⿱{26}貝
U+2845E 𨑞 ⿺辶{08}
U+28DED 𨷭 ⿵門⿸广⿳{68}儿土
U+28EBC 𨺼 ⿰阝⿱夂{38}
U+2A654 𪙔 ⿱{26}齒
U+2B813 𫠓 ⿹{47}一
U+2D129 𭄩 ⿹{47}力
U+2D16B 𭅫 ⿻卐㗊
U+2DD37 𭴷 ⿱旧⿹勹灬
U+2DD3F 𭴿 ⿱{56}火
U+2E579 𮕹 ⿹{51}衣
U+2E785 𮞅 ⿺辶{15}
U+2EA43 𮩃 ⿰飠𭴔
U+2EA74 𮩴 ⿹{51}廾
U+2EA78 𮩸 ⿹{51}中
U+30A39 𰨹 ⿱稚{33}
U+2DC50 𭱐 ⿰氵⿰⿸⿱⺊廾刂
U+2D779 𭝹 ⿰忄⿺尢⿱寸
U+2DC57 𭱗 ⿰氵⿱立
U+2E3F8 𮏸 ⿱𦫸⿷⿱丿⿱𫩏儿丶
U+340C 㐌 ⿱𠂉也
U+342B 㐫 ⿱亠凶
U+342C 㐬 ⿱⿱亠厶𫶧
U+342D 㐭 ⿱亠回
U+3431 㐱 ⿱𠆢彡
U+3432 㐲 ⿰亻大
U+3435 㐵 ⿰亻于
U+3436 㐶 ⿰亻巳
U+3438 㐸 ⿰亻欠
U+343B 㐻 ⿰亻内
U+343C 㐼 ⿰亻升
U+3440 㑀 ⿰亻太
U+3441 㑁 ⿰亻出
U+3443 㑃 ⿰亻幼
U+3444 㑄 ⿰亻母
U+3445 㑅 ⿰亻⿱𠂉上
U+3446 㑆 ⿰亻兄
U+344B 㑋 ⿰亻曲
U+344C 㑌 ⿰亻匡
U+344F 㑏 ⿰亻守
U+3453 㑓 ⿰亻⿱厶友
U+3457 㑗 ⿰亻身
U+3458 㑘 ⿰亻戒
U+345A 㑚 ⿰亻那
U+345D 㑝 ⿰亻弄
U+3461 㑡 ⿰亻即
U+3462 㑢 ⿰亻却
U+3464 㑤 ⿰亻苗
U+3465 㑥 ⿰亻易
U+3466 㑦 ⿰亻戾
U+3468 㑨 ⿰亻⿱口矢
U+346B 㑫 ⿰亻念
U+346E 㑮 ⿰亻軍
U+346F 㑯 ⿰亻頁
U+3474 㑴 ⿰亻⿱帚又
U+3475 㑵 ⿰亻疾
U+3477 㑷 ⿰亻能
U+3479 㑹 ⿳⿵𠆢一由日
U+347A 㑺 ⿰亻隽
U+347B 㑻 ⿰亻密
U+347C 㑼 ⿰亻略
U+347F 㑿 ⿰亻巢
U+3480 㒀 ⿰亻啇
U+3482 㒂 ⿰亻著
U+3483 㒃 ⿰亻貳
U+3484 㒄 ⿰亻然
U+3486 㒆 ⿰亻翕
U+3487 㒇 ⿰亻無
U+348A 㒊 ⿰亻歰
U+348B 㒋 ⿰亻斯
U+3492 㒒 ⿰亻業
U+3493 㒓 ⿰亻達
U+3494 㒔 ⿰亻蜀
U+3496 㒖 ⿰亻萬
U+3497 㒗 ⿰亻䑓
U+349A 㒚 ⿰亻㥯
U+349C 㒜 ⿰亻與
U+349D 㒝 ⿰亻蔑
U+349E 㒞 ⿰亻嶲
U+34A4 㒤 ⿰亻聶
U+34A5 㒥 ⿰亻豐
U+34A7 㒧 ⿰亻離
U+34AC 㒬 ⿺元王
U+34AF 㒯 ⿰光華
U+34B0 㒰 ⿱入工
U+34B5 㒵 ⿱白八
U+34B7 㒷 ⿳𠔿一八
U+34B8 㒸 ⿱丷豕
U+34B9 㒹 ⿰真真
U+34BB 㒻 ⿱⺜見
U+34BC 㒼 ⿱廿⿻巾𠓜
U+34BF 㒿 ⿱⺜離
U+34C2 㓂 ⿱冖⿺元女
U+34CA 㓊 ⿰冫同
U+34D3 㓓 ⿰冫南
U+34D4 㓔 ⿰冫射
U+34D5 㓕 ⿰冫烕
U+34D6 㓖 ⿰冫畢
U+34D7 㓗 ⿰冫絜
U+34DB 㓛 ⿰工刀
U+34DC 㓜 ⿰幺刀
U+34DD 㓝 ⿰井刂
U+34DE 㓞 ⿰丰刀
U+34DF 㓟 ⿰皮刂
U+34E2 㓢 ⿰各刂
U+34E3 㓣 ⿰合刂
U+34E8 㓨 ⿰夾刂
U+34ED 㓭 ⿰曷刂
U+34EE 㓮 ⿰周刂
U+34F2 㓲 ⿰扁刂
U+34F5 㓵 ⿰咢刂
U+34F7 㓷 ⿰臬刂
U+34F8 㓸 ⿰𠁁刂
U+34F9 㓹 ⿰⿸厂炎刂
U+34FA 㓺 ⿰虔刂
U+34FB 㓻 ⿰罡刂
U+34FC 㓼 ⿰桼刂
U+34FE 㓾 ⿰犀刂
U+3501 㔁 ⿰登刂
U+3503 㔃 ⿱絕刀
U+3513 㔓 ⿰千力
