T01n0001_001.xml#p0001b11|1 大本經
T01n0001_002.xml#p0011a07|2 遊行經
T01n0001_005.xml#p0030b10|3 典尊經
T01n0001_005.xml#p0034b04|4 闍尼沙經
T01n0001_006.xml#p0036b28|5 小緣經
T01n0001_006.xml#p0039a21|6 轉輪聖王修行經
T01n0001_007.xml#p0042b24|7 弊宿經
T01n0001_008.xml#p0047a17|8 散陀那經
T01n0001_008.xml#p0049b26|9 眾集經
T01n0001_009.xml#p0052c17|10 十上經
T01n0001_009.xml#p0057b25|11 增一經
T01n0001_010.xml#p0059b14|12 三聚經
T01n0001_010.xml#p0060a28|13 大緣方便經
T01n0001_010.xml#p0062b28|14 釋提桓因問經
T01n0001_011.xml#p0066a09|15 阿㝹夷經
T01n0001_011.xml#p0070a19|16 善生經
T01n0001_012.xml#p0072c12|17 清淨經
T01n0001_012.xml#p0076b23|18 自歡喜經
T01n0001_012.xml#p0079b01|19 大會經
T01n0001_013.xml#p0082a06|20 阿摩晝經
T01n0001_014.xml#p0088b12|21 梵動經
T01n0001_015.xml#p0094a18|22 種德經
T01n0001_015.xml#p0096c16|23 究羅檀頭經
T01n0001_016.xml#p0101b14|24 堅固經
T01n0001_016.xml#p0102c24|25 倮形梵志經
T01n0001_016.xml#p0104c16|26 三明經
T01n0001_017.xml#p0107a20|27 沙門果經
T01n0001_017.xml#p0109c22|28 布吒婆樓經
T01n0001_017.xml#p0112c20|29 露遮經
T01n0001_018.xml#p0114b07|30 世記經
T01n0026_001.xml#p0421a12|1 善法經
T01n0026_001.xml#p0422a18|2 晝度樹經
T01n0026_001.xml#p0422c09|3 城喻經
T01n0026_001.xml#p0424a13|4 水喻經
T01n0026_001.xml#p0425a15|5 木積喻經
T01n0026_002.xml#p0427a13|6 善人往經
T01n0026_002.xml#p0427c25|7 世間福經
T01n0026_002.xml#p0428c07|8 七日經
T01n0026_002.xml#p0429c28|9 七車經
T01n0026_002.xml#p0431c13|10 漏盡經
T01n0026_003.xml#p0433a12|11 鹽喻經
T01n0026_003.xml#p0434a12|12 和破經
T01n0026_003.xml#p0435a24|13 度經
T01n0026_003.xml#p0436a12|14 羅云經
T01n0026_003.xml#p0437b24|15 思經
T01n0026_003.xml#p0438b13|16 伽藍經
