tǔn tun3
chē che1
bìng bing4
lǔ lǔ
chēn chēn
guó guó
tìng tìng
jiān jiān
fén fén
sàng sàng
kuā kuā
jià jià
xiǔ xiǔ
chàng chàng
ér ér
bāng bāng
féi féi
mǐn mǐn
kōu kōu
òu òu
ké ké
chuò chuò
shuó shuó
kuàn kuàn
chǒu chǒu
kǎng kǎng
zhān zhān
hún hún
shuāng shuāng
lè lè
gàng gàng
pāo pāo
jiè jiè
bīn bīn
kè kè
biān biān
pén pén
sāi sāi
qiú qiú
děi děi
guǒ guǒ
wen wen
éi éi
yíng yíng
zhǐ zhǐ
xià xià
ái ái
cēng cēng
zhàn zhàn
zhán zhán
tēng tēng
ní ní
kuí kuí
rào rào
mài mài
hòu hòu
xiao xiao
niǎo niǎo
xiā xiā
xiá xiá
guà guà
hǎng hǎng
diè diè
mǎo mǎo
léng léng
shěng shěng
à à
zhǎi zhǎi
wǎng wǎng
zōng zōng
néng néng
bian bian
pǔ pǔ
zhi zhi
lài lài
diàn diàn
tún tún
póu póu
gùn gùn
háo háo
shuàn shuàn
zuī zuī
tian tian
pěn pěn
zǒng zǒng
zāo zāo
fòu fòu
zǎi zǎi
ruǐ ruǐ
ré ré
zhuǒ zhuǒ
huàn huàn
cèng cèng
hēn hēn
gǎng gǎng
zhā zhā
shéng shéng
fú fú
ěi ěi
cǔ cǔ
dán dán
lǘ lǘ
máng máng
pěng pěng
gòng gòng
qiū qiū
yáng yáng
cǐ cǐ
tā tā
hén hén
kào kào
shuò shuò
lēi lēi
ru ru
rèng rèng
fǎn fǎn
jìng jìng
zòng zòng
cú cú
guō guō
chōu chōu
duò duò
lǎ lǎ
shuān shuān
hán hán
fá fá
lǐ lǐ
záo záo
mà mà
lei lei
guang guang
fǔ fǔ
tiè tiè
luàn luàn
biāo biāo
máo máo
zhùn zhùn
mǐ mǐ
tǎi tǎi
mín mín
dǐ dǐ
chuǎn chuǎn
me me
dòu dòu
ta ta
yūn yūn
er er
sōng sōng
zhuǎng zhuǎng
ma ma
liāo liāo
chuí chuí
píng píng
suàn suàn
quàn quàn
qià qià
zhēn zhēn
tuó tuó
bǒ bǒ
de de
ào ào
tǐng tǐng
pài pài
gǎo gǎo
tòu tòu
lang lang
zuān zuān
xuē xuē
tǐ tǐ
zǐ zǐ
jiǎ jiǎ
guài guài
chuō chuō
yō yō
mèi mèi
chu chu
shàn shàn
xì xì
shè shè
qiàn qiàn
cháng cháng
tǒng tǒng
háng háng
bǎo bǎo
hōng hōng
bāi bāi
lǐng lǐng
ǒu ǒu
nàn nàn
qiǒng qiǒng
kuǎ kuǎ
shuài shuài
zhōng zhōng
nǎo nǎo
sú sú
bái bái
zǔn zǔn
hōu hōu
qiōng qiōng
cuán cuán
yuān yuān
jūn jūn
péng péng
zhēng zhēng
hú hú
xǐn xǐn
he he
rāng rāng
cén cén
hǒu hǒu
dá dá
zhē zhē
tuàn tuàn
pò pò
páo páo
hě hě
gāng gāng
jī jī
zán zán
dú dú
sào sào
běi běi
kuāng kuāng
gēng gēng
āng āng
yàng yàng
hui hui
fū fū
sǎn sǎn
pì pì
ǎi ǎi
bǎ bǎ
zuō zuō
àn àn
yuē yuē
hǎo hǎo
tóu tóu
páng páng
yán yán
nǜ nǜ
niú niú
běn běn
li li
shào shào
èn èn
làng làng
suí suí
sǔn sǔn
tū tū
nuán nuán
zhai zhai
cā cā
zhuài zhuài
hàng hàng
zhěng zhěng
rě rě
chì chì
chù chù
zhe zhe
bá bá
kuò kuò
lěng lěng
zháo zháo
gù gù
mǎng mǎng
shě shě
chǒng chǒng
nóu nóu
jiǔ jiǔ
bān bān
hài hài
bù bù
nǎi nǎi
jie jie
diāo diāo
chě chě
lāo lāo
lā lā
jiě jiě
gǔ gǔ
sā sā
nóng nóng
sēng sēng
shàng shàng
sūn sūn
wá wá
sheng sheng
zhì zhì
dié dié
zheng zheng
qín qín
duó duó
zá zá
bí bí
náng náng
zhè zhè
jīn jīn
duī duī
níng níng
pū pū
lie lie
lián lián
hū hū
quān quān
dàn dàn
bǔ bǔ
xué xué
xǐ xǐ
qiā qiā
sǐ sǐ
náo náo
fǎng fǎng
nā nā
pēn pēn
měi měi
hěn hěn
yòng yòng
zhuó zhuó
sāng sāng
la la
ń ń
gèn gèn
chuài chuài
tiē tiē
sū sū
xiè xiè
liàng liàng
mǎ mǎ
dē dē
bì bì
gǎn gǎn
péi péi
shèn shèn
fěng fěng
là là
duǒ duǒ
zhí zhí
lēng lēng
lǜ lǜ
chuái chuái
juě juě
fēi fēi
kuǎng kuǎng
chuī chuī
liè liè
zhù zhù
jian jian
hān hān
fā fā
lǒu lǒu
jiù jiù
xiǎn xiǎn
yà yà
liǎ liǎ
kān kān
béng béng
zhuì zhuì
kōng kōng
kuǎn kuǎn
tūn tūn
zhǎn zhǎn
rùn rùn
wàn wàn
shuǎ shuǎ
piàn piàn
sàn sàn
pí pí
lìn lìn
hǎi hǎi
po po
nuàn nuàn
liǔ liǔ
lín lín
kuān kuān
huá huá
liǎng liǎng
tè tè
yuán yuán
dāng dāng
wēng wēng
gā gā
cān cān
huàng huàng
suō suō
lù lù
cháo cháo
zāi zāi
xiě xiě
wài wài
nǒu nǒu
lòng lòng
kǎ kǎ
tāi tāi
chěng chěng
qiáo qiáo
zòu zòu
dǔn dǔn
zhuàng zhuàng
ěn ěn
yí yí
līn līn
jiā jiā
bǐng bǐng
suò suò
zhuāng zhuāng
chuān chuān
lú lú
xiàng xiàng
yáo yáo
sì sì
lüě lüě
nián nián
méng méng
zí zí
shā shā
niǔ niǔ
xiǎo xiǎo
zuǎn zuǎn
biǎn biǎn
qǐ qǐ
yǎng yǎng
luán luán
táo táo
biǎo biǎo
dǔ dǔ
shén shén
cuān cuān
jū jū
lǎo lǎo
biē biē
yè yè
cū cū
qiang qiang
bīng bīng
wòng wòng
fa fa
shū shū
shuā shuā
qǔ qǔ
shuì shuì
yī yī
jiáo jiáo
tíng tíng
nǔ nǔ
káng káng
duì duì
cūn cūn
shui shui
guǎng guǎng
pīn pīn
yìn yìn
dì dì
chóng chóng
bao bao
rèn rèn
chěn chěn
wěn wěn
chuàn chuàn
nān nān
zhū zhū
pān pān
wǒ wǒ
qì qì
cuì cuì
mēng mēng
wěi wěi
tiě tiě
còu còu
mié mié
jiàng jiàng
rǎng rǎng
qiāo qiāo
làn làn
zī zī
juè juè
a a
gān gān
gà gà
zuò zuò
lí lí
ruó ruó
Śrāvatsa Śrāvatsa
fěi fěi
tái tái
zhà zhà
mǐng mǐng
gāi gāi
