SD-A440,􄑀,ka,ka,𑖎
SD-A441,􄑁,kā,kaa,𑖎𑖯
SD-A442,􄑂,ki,ki,𑖎𑖰
SD-A443,􄑃,kī,kii,𑖎𑖱
SD-A444,􄑄,ku,ku,𑖎𑖲
SD-A445,􄑅,kū,kuu,𑖎𑖳
SD-A446,􄑆,ke,ke,𑖎𑖸
SD-A447,􄑇,kai,kai,𑖎𑖹
SD-A448,􄑈,ko,ko,𑖎𑖺
SD-A449,􄑉,kau,kau,𑖎𑖻
SD-A44A,􄑊,kaṃ,ka.m,𑖎𑖽
SD-A44B,􄑋,kaḥ,ka.h,𑖎𑖾
SD-A44C,􄑌,kha,kha,𑖏
SD-A44D,􄑍,khā,khaa,𑖏𑖯
SD-A44E,􄑎,khi,khi,𑖏𑖰
SD-A44F,􄑏,khī,khii,𑖏𑖱
SD-A452,􄑒,khe,khe,𑖏𑖸
SD-A454,􄑔,kho,kho,𑖏𑖺
SD-A456,􄑖,khaṃ,kha.m,𑖏𑖽
SD-A457,􄑗,khaḥ,kha.h,𑖏𑖾
SD-A458,􄑘,ga,ga,𑖐
SD-A459,􄑙,gā,gaa,𑖐𑖯
SD-A45A,􄑚,gi,gi,𑖐𑖰
SD-A45C,􄑜,gu,gu,𑖐𑖲
SD-A45D,􄑝,gū,guu,𑖐𑖳
SD-A45E,􄑞,ge,ge,𑖐𑖸
SD-A45F,􄑟,gai,gai,𑖐𑖹
SD-A460,􄑠,go,go,𑖐𑖺
SD-A461,􄑡,gau,gau,𑖐𑖻
SD-A462,􄑢,gaṃ,ga.m,𑖐𑖽
SD-A463,􄑣,gaḥ,ga.h,𑖐𑖾
SD-A464,􄑤,gha,gha,𑖑
SD-A465,􄑥,ghā,ghaa,𑖑𑖯
SD-A466,􄑦,ghi,ghi,𑖑𑖰
SD-A467,􄑧,ghī,ghii,𑖑𑖱
SD-A46A,􄑪,ghe,ghe,𑖑𑖸
SD-A46C,􄑬,gho,gho,𑖑𑖺
SD-A46E,􄑮,ghaṃ,gha.m,𑖑𑖽
SD-A46F,􄑯,ghaḥ,gha.h,𑖑𑖾
SD-A470,􄑰,ṅa,^na,𑖒
SD-A471,􄑱,ṅā,^naa,𑖒𑖯
SD-A472,􄑲,ṅi,^ni,𑖒𑖰
SD-A473,􄑳,ṅī,^nii,𑖒𑖱
SD-A47A,􄑺,ṅaṃ,^na.m,𑖒𑖽
SD-A47B,􄑻,ṅaḥ,^na.h,𑖒𑖾
SD-A47C,􄑼,ca,ca,𑖓
SD-A47D,􄑽,cā,caa,𑖓𑖯
SD-A47E,􄑾,ci,ci,𑖓𑖰
SD-A4A1,􄒡,cī,cii,𑖓𑖱
SD-A4A2,􄒢,cu,cu,𑖓𑖲
SD-A4A4,􄒤,ce,ce,𑖓𑖸
SD-A4A5,􄒥,cai,cai,𑖓𑖹
SD-A4A6,􄒦,co,co,𑖓𑖺
SD-A4A7,􄒧,cau,cau,𑖓𑖻
SD-A4A8,􄒨,caṃ,ca.m,𑖓𑖽
SD-A4A9,􄒩,caḥ,ca.h,𑖓𑖾
SD-A4AA,􄒪,cha,cha,𑖔
SD-A4B6,􄒶,ja,ja,𑖕
SD-A4B7,􄒷,jā,jaa,𑖕𑖯
SD-A4B8,􄒸,ji,ji,𑖕𑖰
SD-A4B9,􄒹,jī,jii,𑖕𑖱
SD-A4BA,􄒺,ju,ju,𑖕𑖲
SD-A4BC,􄒼,je,je,𑖕𑖸
SD-A4BE,􄒾,jo,jo,𑖕𑖺
SD-A4C0,􄓀,jaṃ,ja.m,𑖕𑖽
SD-A4C1,􄓁,jaḥ,ja.h,𑖕𑖾
SD-A4C2,􄓂,jha,jha,𑖖
SD-A4C3,􄓃,jhā,jhaa,𑖖𑖯
SD-A4C4,􄓄,jhi,jhi,𑖖𑖰
SD-A4C8,􄓈,jhe,jhe,𑖖𑖸
SD-A4CC,􄓌,jhaṃ,jha.m,𑖖𑖽
SD-A4CD,􄓍,jhaḥ,jha.h,𑖖𑖾
SD-A4CE,􄓎,ña,~na,𑖗
SD-A4CF,􄓏,ñā,~naa,𑖗𑖯
