准 準准
庄 庄莊
注 註注
朱 朱硃
周 周週
种 種种
冢 塚冢
钟 鍾鐘
致 致緻
志 志誌
制 制製　
只 只隻衹
证 證証
症 症癥
征 征徵
折 折摺
占 占佔
扎 扎紮
脏 臟髒
赞 贊讚
云 雲云
岳 岳嶽
愿 願愿
郁 郁鬱
欲 欲慾
御 御禦　
与 與与
余 余餘
于 於于
游 游遊
优 優优
踊 踴踊
涌 湧涌
佣 傭佣
叶 葉叶
咽 嚥咽
熏 熏燻
旋 旋鏇
须 須鬚　
吁 籲吁
绣 綉繡
向 向嚮曏
线 線綫
弦 弦絃
咸 鹹咸
系 系係繫
恶 惡噁
喂 喂餵
为 為爲
网 網网
万 萬万
洼 窪洼
托 托託
团 團糰
涂 涂塗
同 同衕
听 聽听
体 體体
叹 嘆歎
坛 壇罈　
台 臺台檯枱颱
它 它牠祂
他 他祂
苏 蘇囌甦
松 松鬆
术 術朮
适 適适　
胜 勝胜
圣 聖圣
升 升昇陞
沈 沈瀋
舍 舍捨
晒 曬晒
涩 澀澁
洒 灑洒
扰 擾扰
确 確确
确 確确
曲 曲麯麴
秋 秋鞦
纤 纖縴
签 簽籤
千 千韆
气 氣气　
铺 鋪舖
扑 撲扑
仆 僕仆　
苹 蘋苹
朴 朴樸
泞 濘泞
袅 裊嫋嬝
你 你妳
麽 麽麼
蔑 蔑衊
面 面麵麪麫
弥 彌瀰
蒙 蒙懞濛矇
霉 霉黴
么 么麼
罗 羅囉　
卤 鹵滷
岭 嶺岭
梁 梁樑
怜 憐怜
帘 簾帘
历 歷曆厤
里 里裡裏
篱 籬篱
离 離离
漓 漓灕
厘 厘釐
累 累纍
了 了瞭
蜡 蠟蜡
腊 臘腊　
困 困睏
夸 夸誇
克 克剋
卷 捲卷
据 據据
惊 驚惊
尽 盡儘
借 借藉
洁 潔洁
姜 姜薑
荐 薦荐
茧 繭茧
奸 奸姦
价 價价
家 家傢
几 幾几
极 極极
饥 飢饑
迹 跡蹟
虮 蟣虮
机 機机　
获 獲穫
伙 夥伙
汇 匯彙滙
回 回迴囘
坏 壞坏*
怀 懷怀
划 畫劃划
胡 胡鬍衚
后 後后
哄 哄鬨
柜 櫃柜
广 廣广
刮 刮颳
雇 雇僱
谷 谷穀
构 構构
赶 趕赶
干 乾干幹榦
复 復複覆复
丰 豐丰
范 范範
发 發髮　
吨 噸吨　
斗 鬥斗鬪鬦鬭
冬 冬鼕
吊 弔吊
淀 澱淀
党 黨党
当 當噹
村 村邨
粗 粗麤
出 出齣
丑 丑醜
酬 酬醻
仇 仇讎
虫 虫蟲　
冲 沖衝
厂 厂庵厰廠
尝 嘗甞嚐
忏 懺忏
蚕 蠶蚕
参 參蔘
采 采埰寀採
彩 彩綵
才 才纔
布 布佈
卜 卜蔔
并 并並併竝
别 別彆
表 表錶
辟 辟闢
杯 杯盃
板 板闆
摆 擺襬
腌 醃腌
