云 雲
同 衕
向 曏
面 麵
只 衹 隻
表 錶
制 製
里 裡
致 緻
并 併
咸 鹹
注 註
余 餘
松 鬆
台 檯 颱
御 禦
干 幹
胡 衚 鬍
累 纍
谷 穀
沈 瀋
斗 鬥
后 後
板 闆
克 剋
卜 蔔
丑 醜
栗 慄
采 埰 採
挽 輓
征 徵
系 係
虚 虛
范 範
冲 衝
郁 鬱
随 隨
厂 廠
刮 颳
奸 姦
芸 蕓
仆 僕
尽 儘
价 價
欤 歟
叶 葉
儿 兒
姹 奼
漓 灕
怜 憐
坏 壞
彝 彞
坂 阪
弑 弒
丰 豐
凭 憑
复 複 覆
数 數
蹰 躕
症 癥
吴 吳
堕 墮
学 學
杆 桿
么 麼 麽
据 據
涂 塗
厩 廄
苧 薴
泞 濘
麦 麥
禅 禪
举 舉
奥 奧
兖 兗
确 確
异 異
窑 窯
筑 築
块 塊
气 氣
国 國
篱 籬
弥 彌
园 園
触 觸
术 術
网 網
垩 堊
电 電
吕 呂
蛊 蠱
宁 寧
淀 澱
悮 悞
洼 窪
划 畫
当 噹
广 廣
汹 洶
毁 毀
叁 叄
刹 剎
帘 簾
巩 鞏
伫 佇
冈 岡
粜 糶
党 黨
种 種
构 構
苹 蘋
凛 凜
俣 俁
戯 戱
籴 糴
榅 榲
隐 隱
启 啟
称 稱
开 開
剥 剝
录 録
参 參
佣 傭
溆 漵
吨 噸
峦 巒
联 聯
适 適
蛱 蛺
夹 夾
皱 皺
岭 嶺
垒 壘
胜 勝
扰 擾
权 權
庐 廬
楼 樓
炖 燉
递 遞
状 狀
潴 瀦
忧 憂
优 優
坛 罈
抛 拋
牦 氂
屡 屢
隶 隸
橱 櫥
爱 愛
挟 挾
显 顯
叹 嘆
实 實
关 關
肮 骯
浊 濁
营 營
彦 彥
湾 灣
渗 滲
蔂 虆
仅 僅
蒋 蔣
袄 襖
壮 壯
瞩 矚
誉 譽
样 樣
峡 峽
穷 窮
恼 惱
祢 禰
栾 欒
挛 攣
禄 祿
俫 倈
迳 逕
虮 蟣
肤 膚
郑 鄭
战 戰
屿 嶼
娱 娛
瑶 瑤
写 寫
窝 窩
弹 彈
毵 毿
内 內
迈 邁
荦 犖
娄 婁
搂 摟
猎 獵
励 勵
丽 麗
屦 屨
惊 驚
洁 潔
涣 渙
惮 憚
殚 殫
媪 媼
埯 垵
䘛 𧝞
亲 親
众 眾 衆
箓 籙
币 幣
㑩 儸
㔉 劚
㖊 噚
㖞 喎
㧑 撝
㱩 殰
㱮 殨
㲿 瀇
㶉 鸂
㶶 燶
䅉 稏
䇲 筴
䌷 紬
䌸 縳
䌹 絅
䌺 䋙
䌼 綐
䓕 薳
䗖 螮
䙊 𧜵
䜣 訢
䜥 𧩙
䜧 譅
䝙 貙
䞍 䝼
䞐 賰
䦀 𨦫
䯄 騧
䴔 鵁
䴖 鶄
䴗 鶪
䴘 鷈
䴙 鷿
专 專
业 業
丛 叢
丝 絲
严 嚴
丧 喪
临 臨
为 爲
乌 烏
乐 樂
习 習
乡 鄉
书 書
买 買
亏 虧
亚 亞
产 産
亩 畝
亵 褻
亸 嚲
亿 億
仑 侖
仓 倉
仪 儀
们 們
伛 傴
伞 傘
伟 偉
传 傳
伣 俔
伤 傷
伥 倀
伦 倫
伧 傖
伪 僞
佥 僉
侠 俠
侥 僥
侦 偵
侧 側
侨 僑
侩 儈
侪 儕
侬 儂
俦 儔
俨 儼
俩 倆
俪 儷
俭 儉
债 債
倾 傾
偬 傯
偻 僂
偾 僨
偿 償
傥 儻
傧 儐
储 儲
傩 儺
兰 蘭
兴 興
养 養
兽 獸
冁 囅
册 冊
军 軍
农 農
冯 馮
冻 凍
净 凈
凤 鳳
凫 鳧 鳬
凯 凱
击 擊
凿 鑿
刍 芻
则 則
刚 剛
创 創
别 別
刬 剗
刭 剄
刽 劊
刿 劌
剀 剴
剂 劑
剐 剮
剑 劍
剧 劇
务 務
劢 勱
动 動
劲 勁
势 勢
勋 勛
勚 勩
匦 匭
匮 匱
区 區
华 華
协 協
卖 賣
卢 盧
卤 滷 鹵
卫 衛
厅 廳
历 曆
厉 厲
压 壓
厌 厭
厍 厙
厐 龎
厕 厠
厢 廂
县 縣
发 髮
叽 嘰
吓 嚇
吗 嗎
呐 吶
呒 嘸
呓 囈
呕 嘔
呖 嚦
呗 唄
员 員
呙 咼
呛 嗆
呜 嗚
咙 嚨
咛 嚀
咝 噝
哑 啞
哒 噠
哓 嘵
哔 嗶
哕 噦
哗 嘩
哙 噲
哜 嚌
哝 噥
哟 喲
唛 嘜
唝 嗊
唠 嘮
唡 啢
唢 嗩
唤 喚
啧 嘖
啬 嗇
啭 囀
啮 嚙
啴 嘽
啸 嘯
喷 噴
喽 嘍
喾 嚳
嗫 囁
嗳 噯
嘘 噓
嘤 嚶
噜 嚕
嚣 囂
团 團
围 圍
囵 圇
图 圖
圆 圓
圹 壙
场 場
坚 堅
坜 壢
坝 壩
坞 塢
坠 墜
垄 壟
垅 壠
垆 壚
垦 墾
垫 墊
垭 埡
垱 壋
垲 塏
埘 塒
埙 塤
埚 堝
堑 塹
墙 墻
壶 壺
壸 壼
处 處
备 備
头 頭
夺 奪
奁 奩
奂 奐
奋 奮
奖 獎
妆 妝
妇 婦
妈 媽
妩 嫵
妪 嫗
妫 嬀
娅 婭
娆 嬈
娇 嬌
娈 孌
娲 媧
娴 嫻
婳 嫿
婴 嬰
婵 嬋
婶 嬸
嫒 嬡
嫔 嬪
嫱 嬙
嬷 嬤
孙 孫
孪 孿
宠 寵
审 審
宪 憲
宫 宮
宽 寬
宾 賓
寝 寢
寻 尋
导 導
尝 嘗
尧 堯
尴 尷
层 層
屃 屓
岂 豈
岖 嶇
岗 崗
岘 峴
岙 嶴
岚 嵐
岛 島
岿 巋
峄 嶧
峣 嶢
峤 嶠
峥 崢
崂 嶗
崃 崍
崄 嶮
崭 嶄
嵘 嶸
嵚 嶔
嵝 嶁
巅 巔
帅 帥
师 師
帏 幃
帐 帳
帜 幟
带 帶
帧 幀
帱 幬
帻 幘
帼 幗
幂 冪
庆 慶
庑 廡
库 庫
应 應
庞 龐
废 廢
廪 廩
张 張
弯 彎
彻 徹
径 徑
徕 徠
忆 憶
忏 懺
忾 愾
态 態
怂 慫
怃 憮
怄 慪
怅 悵
怆 愴
总 總
怼 懟
怿 懌
恳 懇
恶 惡
恸 慟
恹 懨
恺 愷
恻 惻
恽 惲
悫 愨
悬 懸
悭 慳
悯 憫
惨 慘
惫 憊
惬 愜
惭 慚
惯 慣
愤 憤
愦 憒
慑 懾
懑 懣
懒 懶
懔 懍
戆 戇
戋 戔
戏 戲
戗 戧
戬 戩
户 戶
扩 擴
扪 捫
扫 掃
扬 揚
抚 撫
抟 摶
抠 摳
抡 掄
抢 搶
护 護
拟 擬
拢 攏
拣 揀
拥 擁
拦 攔
拧 擰
拨 撥
择 擇
挚 摯
挜 掗
挝 撾
挞 撻
挠 撓
挡 擋
挢 撟
挣 掙
挤 擠
挥 揮
挦 撏
捝 挩
捞 撈
损 損
捡 撿
换 換
捣 搗
掳 擄
掴 摑
掷 擲
掸 撣
掺 摻
掼 摜
揽 攬
揾 搵
揿 撳
搀 攙
搁 擱
搅 攪
摄 攝
摅 攄
摆 擺
摈 擯
摊 攤
撄 攖
撵 攆
撷 擷
撸 擼
撺 攛
擞 擻
攒 攢
敌 敵
敛 斂
斓 斕
斩 斬
旷 曠
旸 暘
昙 曇
昼 晝
昽 曨
晓 曉
晔 曄
晕 暈
晖 暉
暂 暫
暧 曖
杀 殺
杂 雜
杨 楊
杩 榪
枞 樅
枢 樞
枣 棗
枥 櫪
枧 梘
枨 棖
枪 槍
枫 楓
枭 梟
柠 檸
柽 檉
栀 梔
栅 柵
标 標
栈 棧
栉 櫛
栊 櫳
栋 棟
栌 櫨
栎 櫟
栏 欄
树 樹
桠 椏
桡 橈
桢 楨
档 檔
桤 榿
桥 橋
桦 樺
桧 檜
桨 槳
桩 樁
梼 檮
梾 棶
梿 槤
检 檢
棁 梲
棂 欞
椟 櫝
椠 槧
椤 欏
椭 橢
榄 欖
榇 櫬
榈 櫚
榉 櫸
槚 檟
槛 檻
槟 檳
槠 櫧
横 橫
樯 檣
樱 櫻
橥 櫫
橹 櫓
橼 櫞
檩 檁
欧 歐
歼 殲
殇 殤
残 殘
殒 殞
殓 殮
殡 殯
殴 毆
毂 轂
毕 畢
毙 斃
氇 氌
氢 氫
氲 氳
汇 匯
汉 漢
汤 湯
沟 溝
沣 灃
沤 漚
沥 瀝
沦 淪
沧 滄
沩 溈 潙
沪 滬
泶 澩
泷 瀧
泸 瀘
泺 濼
泻 瀉
泼 潑
泽 澤
泾 涇
浃 浹
浅 淺
浆 漿
浇 澆
浈 湞
测 測
浍 澮
济 濟
浏 瀏
浐 滻
浑 渾
浒 滸
浓 濃
浔 潯
涛 濤
涝 澇
涞 淶
涟 漣
涡 渦
涤 滌
润 潤
涧 澗
涨 漲
涩 澀
渊 淵
渌 淥
渍 漬
渎 瀆
渐 漸
渑 澠
渔 漁
湿 濕
溃 潰
溅 濺
滗 潷
滚 滾
滞 滯
滟 灧
满 滿
滢 瀅
滤 濾
滥 濫
滦 灤
滨 濱
滩 灘
滪 澦
潆 瀠
潇 瀟
潋 瀲
潍 濰
澜 瀾
濑 瀨
濒 瀕
灏 灝
灭 滅
灿 燦
炀 煬
炜 煒
炝 熗
炼 煉
炽 熾
烁 爍
烂 爛
烦 煩
烧 燒
烨 燁
烩 燴
烫 燙
烬 燼
热 熱
焕 煥
焖 燜
焘 燾
煴 熅
爷 爺
牍 牘
牵 牽
牺 犧
犊 犢
犷 獷
犸 獁
狈 狽
狝 獮
狞 獰
狭 狹
狮 獅
狯 獪
狰 猙
狱 獄
狲 猻
猃 獫
猕 獼
猡 玀
獭 獺
玑 璣
玚 瑒
玛 瑪
玮 瑋
环 環
现 現
玱 瑲
玺 璽
珐 琺
珑 瓏
珰 璫
珲 琿
琏 璉
琐 瑣
琼 瓊
瑷 璦
璎 瓔
瓒 瓚
瓯 甌
畅 暢
畴 疇
疖 癤
疗 療
疟 瘧
疠 癘
疡 瘍
疬 癧
疮 瘡
疯 瘋
痈 癰
痉 痙
痖 瘂
痨 癆
痪 瘓
痫 癇
瘅 癉
瘆 瘮
瘗 瘞
瘘 瘻
瘪 癟
瘫 癱
瘾 癮
瘿 癭
癞 癩
癣 癬
癫 癲
皑 皚
皲 皸
盏 盞
盐 鹽
监 監
盘 盤
眬 矓
睁 睜
睐 睞
睑 瞼
瞆 瞶
瞒 瞞
矫 矯
矶 磯
矾 礬
矿 礦
砀 碭
