為 为
諸 诸
說 说
見 见
師 师
眾 众
薩 萨
經 经
謂 谓
處 处
緣 缘
應 应
種 种
問 问
後 后
別 别
則 则
觀 观
復 复
識 识
現 现
聞 闻
滅 灭
實 实
釋 释
論 论
隨 随
覺 觉
業 业
異 异
樂 乐
語 语
間 间
禪 禅
餘 余
勝 胜
發 发
麼 么
惡 恶
長 长
雖 虽
學 学
須 须
轉 转
華 华
證 证
顯 显
國 国
頭 头
開 开
圓 圆
結 结
攝 摄
脫 脱
廣 广
數 数
內 内
舉 举
嚴 严
諦 谛
惱 恼
風 风
滿 满
雲 云
請 请
總 总
進 进
訶 诃
動 动
愛 爱
記 记
終 终
約 约
養 养
稱 称
煩 烦
習 习
達 达
彌 弥
龍 龙
護 护
極 极
頌 颂
輪 轮
親 亲
類 类
豈 岂
觸 触
靜 静
樹 树
順 顺
貪 贪
虛 虚
傳 传
壞 坏
漢 汉
賢 贤
剎 刹
剛 刚
書 书
誦 诵
許 许
計 计
頂 顶
裏 里
參 参
尋 寻
殺 杀
議 议
誰 谁
違 违
蘊 蕴
設 设
絕 绝
墮 堕
葉 叶
藥 药
興 兴
儀 仪
覆 复
際 际
氣 气
畢 毕
隱 隐
黃 黄
輕 轻
財 财
馬 马
獄 狱
雜 杂
繫 系
蓮 莲
鉢 钵
漸 渐
細 细
續 续
臨 临
頓 顿
窮 穷
慮 虑
權 权
濟 济
堅 坚
標 标
譯 译
獲 获
宮 宫
調 调
縛 缚
兒 儿
飲 饮
節 节
億 亿
據 据
資 资
燒 烧
憂 忧
場 场
優 优
錄 录
厭 厌
辯 辩
橫 横
歷 历
關 关
縱 纵
車 车
領 领
乾 干
積 积
簡 简
寧 宁
貴 贵
話 话
鏡 镜
懺 忏
曇 昙
闍 阇
陳 陈
詣 诣
誠 诚
鐵 铁
連 连
顛 颠
飯 饭
讀 读
運 运
飛 飞
鳥 鸟
視 视
勢 势
導 导
園 园
毀 毁
熱 热
樓 楼
擇 择
憶 忆
戲 戏
徹 彻
講 讲
諍 诤
謗 谤
喚 唤
載 载
損 损
揚 扬
賊 贼
芻 刍
維 维
補 补
慶 庆
遺 遗
備 备
髮 发
專 专
驚 惊
談 谈
穢 秽
錢 钱
軍 军
擬 拟
畫 划
審 审
盧 卢
適 适
質 质
詮 诠
網 网
顧 顾
奪 夺
張 张
錯 错
蘭 兰
饒 饶
貧 贫
責 责
徵 征
謝 谢
負 负
給 给
衛 卫
擊 击
曉 晓
純 纯
嘗 尝
纏 缠
余 馀
圍 围
塗 涂
帶 带
濁 浊
預 预
詳 详
趙 赵
魚 鱼
殘 残
狀 状
圖 图
孫 孙
淺 浅
鳴 鸣
闕 阙
閻 阎
蘇 苏
廢 废
婦 妇
賜 赐
徑 径
鈔 钞
賓 宾
傷 伤
產 产
晝 昼
納 纳
訖 讫
鈍 钝
慚 惭
銀 银
懸 悬
驗 验
啟 启
潤 润
題 题
詩 诗
烏 乌
閣 阁
賀 贺
寫 写
紅 红
繞 绕
試 试
閑 闲
吳 吴
遙 遥
頗 颇
韓 韩
認 认
輩 辈
暫 暂
楊 杨
詔 诏
務 务
賴 赖
叢 丛
戶 户
飾 饰
贊 赞
軌 轨
喪 丧
覓 觅
統 统
餓 饿
藍 蓝
縣 县
詞 词
繼 继
竪 竖
戰 战
闡 阐
測 测
揀 拣
顏 颜
賤 贱
誡 诫
術 术
誑 诳
劍 剑
註 注
擲 掷
滯 滞
該 该
豎 竖
鐘 钟
盤 盘
鄉 乡
傾 倾
頃 顷
馱 驮
階 阶
熾 炽
掃 扫
嶺 岭
規 规
牽 牵
紙 纸
馳 驰
敗 败
溈 沩
貫 贯
誤 误
謬 谬
憐 怜
潔 洁
慳 悭
驢 驴
聰 聪
濕 湿
罵 骂
敵 敌
寬 宽
繩 绳
騰 腾
獸 兽
湯 汤
偽 伪
賣 卖
齒 齿
謁 谒
營 营
訓 训
豐 丰
龜 龟
閉 闭
澤 泽
託 讬
側 侧
瓔 璎
頻 频
諫 谏
價 价
彈 弹
撥 拨
絲 丝
電 电
蒼 苍
樣 样
麗 丽
團 团
飢 饥
蕩 荡
綱 纲
銅 铜
紀 纪
輔 辅
鳳 凤
軟 软
謹 谨
較 较
倫 伦
曠 旷
遲 迟
錫 锡
嘆 叹
紹 绍
橋 桥
憑 凭
詰 诘
嚕 噜
竇 窦
糞 粪
訪 访
狹 狭
險 险
陸 陆
貞 贞
鎮 镇
爛 烂
驀 蓦
們 们
閱 阅
銷 销
鶴 鹤
額 额
穀 谷
墜 坠
訊 讯
躍 跃
選 选
鋒 锋
廬 庐
練 练
輝 辉
驅 驱
紛 纷
欽 钦
監 监
籠 笼
禍 祸
買 买
淵 渊
濫 滥
競 竞
鑒 鉴
罷 罢
醜 丑
範 范
騎 骑
區 区
環 环
譏 讥
檢 检
雞 鸡
輸 输
線 线
斬 斩
飽 饱
獅 狮
歟 欤
駕 驾
銘 铭
創 创
譽 誉
擾 扰
讓 让
誨 诲
隻 只
誕 诞
莖 茎
費 费
擁 拥
輒 辄
針 针
覽 览
綿 绵
賞 赏
庫 库
採 采
鮮 鲜
渾 浑
奮 奋
謙 谦
裡 里
緊 紧
暢 畅
編 编
揮 挥
層 层
換 换
肅 肃
誘 诱
瘡 疮
罰 罚
綠 绿
聾 聋
錦 锦
擯 摈
魯 鲁
諾 诺
饑 饥
撫 抚
纖 纤
鬚 须
缽 钵
鳩 鸠
鍾 锺
鉤 钩
誹 诽
籌 筹
壯 壮
討 讨
勵 励
穩 稳
緇 缁
鹽 盐
僕 仆
諱 讳
謀 谋
拋 抛
謨 谟
製 制
箋 笺
曆 历
諂 谄
闥 闼
夾 夹
鎖 锁
寢 寝
澗 涧
奧 奥
獵 猎
飄 飘
蕭 萧
鑿 凿
職 职
龕 龛
麥 麦
訛 讹
緩 缓
腦 脑
霧 雾
謾 谩
詐 诈
屢 屡
虧 亏
係 系
黨 党
嗚 呜
淪 沦
餅 饼
頑 顽
悶 闷
織 织
篤 笃
陣 阵
評 评
縫 缝
僅 仅
併 并
韋 韦
撿 捡
鷲 鹫
覿 觌
築 筑
瞞 瞒
釣 钓
諮 谘
貢 贡
鄔 邬
儼 俨
窺 窥
嬰 婴
踐 践
軀 躯
鬱 郁
綺 绮
鈴 铃
娛 娱
緒 绪
縷 缕
級 级
確 确
牆 墙
諷 讽
軒 轩
貝 贝
債 债
裝 装
態 态
錐 锥
堯 尧
鄭 郑
鄰 邻
邏 逻
祿 禄
藝 艺
贈 赠
漁 渔
闊 阔
鑽 钻
滄 沧
帳 帐
隊 队
漚 沤
釘 钉
鑄 铸
斂 敛
塊 块
諭 谕
腸 肠
轍 辙
療 疗
磧 碛
輿 舆
壓 压
禱 祷
蔭 荫
遞 递
貨 货
