㘽 㦳
㦳 㘽
不 不
是 昰
佛 仏
二 贰
若 若
說 説
行 行
十 拾
即 卽
言 訁
等 朩
其 丌
來 來
世 丗
上 丄
眾 衆
切 切
善 譱
下 丅
經 経
五 伍
處 処
緣 縁
應 応
界 畍
淨 凈
出 岀
羅 羅
事 亊
觀 覌
多 夛
本 夲
復 覆
同 仝
解 觧
六 六
乃 廼
欲 慾
真 眞
念 念
從 従
便 便
實 実
離 離
論 論
教 敎
德 惪
令 令
覺 覚
清 淸
異 異
丘 丠
樂 樂
利 利
光 灮
理 理
量 量
乘 乗
力 力
餘 馀
答 荅
聖 堊
年 秊
發 発
麼 麽
惡 惡
立 立
千 仟
百 佰
家 傢
句 句
轉 転
金 钅
華 崋
妙 玅
合 閤
向 嚮
神 神
信 伩
顯 顕
食 饣
藏 蔵
了 了
國 圀
既 旣
俱 倶
圓 圎
攝 摂
和 龢
度 廓
舉 擧
嚴 厳
老 耂
流 流
甚 什
舍 舎
歸 帰
更 更
卷 捲
坐 座
總 総
尚 尙
往 徃
訶 呵
女 女
止 只
罪 辠
遠 逺
福 福
漏 漏
兩 両
西 覀
凡 凢
禮 禮
高 髙
照 炤
夜 亱
座 坐
益 益
變 変
遍 徧
精 精
劫 刦
喻 喩
輪 輪
類 類
林 林
壞 壊
久 乆
告 吿
假 仮
部 卩
律 律
略 畧
布 佈
箇 個
裏 里
曾 曽
參 參
莊 荘
落 落
于 扵
殺 殺
密 宻
像 象
路 路
只 止
靈 靈
葉 葉
藥 薬
易 易
覆 復
辨 弁
並 幷
氣 気
迴 回
都 都
讚 讃
望 朢
志 誌
你 妳
歡 驩
塔 墖
徧 遍
歲 亗
遊 游
雜 雑
繫 繋
勤 懃
露 露
囉 啰
北 北
臨 臨
青 靑
里 裏
權 権
任 仼
譯 訳
勸 勧
良 良
置 寘
笑 咲
宜 冝
春 萅
飲 飮
什 什
節 罇
陽 昜
據 拠
器 噐
察 詧
呪 咒
回 囬
拜 拝
翻 繙
場 塲
錄 録
留 畄
野 埜
列 列
仁 忈
源 厵
契 契
逸 逸
降 降
領 領
收 収
點 奌
懺 懴
呵 訶
肉 宍
并 並
熏 燻
勞 勞
亡 亾
泥 泥
連 連
仙 僊
讀 讀
巖 巌
拂 払
樓 樓
擇 択
劣 劣
毗 毘
希 稀
默 黙
勒 勒
期 朞
奇 竒
垂 埀
賊 戝
黑 黒
予 豫
每 毎
群 羣
峯 峰
齋 斎
虎 乕
富 冨
暗 晻
擬 儗
呼 謼
畫 画
鼓 皼
質 貭
刀 刂
角 甪
塞 塞
走 赱
梨 梨
索 索
溪 渓
喫 吃
幢 橦
珍 珎
單 単
拔 抜
茶 茶
擊 撃
曉 暁
婬 淫
祥 祥
圍 囲
塗 凃
幽 凼
帶 帯
松 枩
陵 陵
蒙 懞
肯 肻
涉 渉
省 省
梁 梁
惠 恵
圖 図
瓶 缾
廢 廃
值 値
干 乾
胡 楜
京 亰
污 汙
率 率
私 厶
宅 宅
麁 粗
床 牀
幸 倖
愧 媿
敘 敍
李 李
博 愽
茲 玆
曹 曺
準 凖
庵 菴
祕 秘
怒 怒
浪 浪
鹿 鹿
吳 呉
船 舩
辟 避
卒 卆
奈 柰
履 履
澄 澂
冬 鼕
晚 晩
冷 冷
甞 嘗
灌 潅
雷 雷
葢 蓋
戶 戸
避 辟
贊 賛
邑 阝
旦 蛋
欣 忻
涼 凉
席 蓆
借 藉
渴 渇
闇 暗
偷 偸
