黃山查士標 黄山查士标
山查 山楂
胡同 衚衕
報導 報道
什麼 甚麼
一閧之市 一巷之市
鼂錯 晁錯
䐊肫 馄饨
仿彿 彷彿
髣髴 彷彿
紡彿 彷彿
髣彿 彷彿
傍偟 徬徨
旁皇 徬徨
彷徨 徬徨
觜參 觜參
觜火猴 觜火猴
觜宿 觜宿
娵觜 娵觜
氐宿夜行、觜在
觜、參、井
合觜 合觜
觜觿 觜觿
唱𡁠 唱诺
𧎇蛘 瘙痒
𢇲 糜 庘
楖𣗖 楖栗
𥥛厥 突厥
打閧 打哄
打鬨 打哄
鬨然 哄然
鬨笑 哄笑
鬧鬨鬨 鬧哄哄
熱鬨閧 熱烘烘
鬨堂大笑 哄堂大笑
屙矢 屙屎
犛靬 犛靬 li2qian2
㧊㨭 跋扈
䆗窱 窈窕
蝄蜽 魍魉
仚桃 仙桃
佡人 仙人
萆荔 薜荔
萆薢 萆薢
晻蔼 an3ai3
羌篴 羌笛
鐵篴 鐵笛
上令以犢車載阤夫妻，將賜死於其家。阤弟司勳侍中整詣闕求哀，於是免阤死
𢈹壓 捶壓
嗢拕南 嗢陀南
殟拕南 嗢陀南
鄔拕南 嗢陀南
摩揭拕
拕那波羅蜜多 檀那波羅蜜多
畺良耶舍 畺良耶舍
癡騃 痴呆
付屬 付嘱
懃鉉 懃鉉
酖酒 鴆酒
豈有酖人羊
酒酖 酒鴆
酖鳥 鴆鳥
酖殺 鴆殺
酖砒 鴆砒
砒酖 砒鴆
酖毒 鴆毒
解廌 獬豸
毀砦 毀訾
蝃蝀 螮蝀 
舽舡 舽舡
烏虖 嗚呼
覙 觀
骨琑 骨鎖
持鞕 持鞭
鞕拷 鞭拷
規橅 規模
𢪛泪 捫淚
𢪛淚 捫淚
柰苑 柰苑
柰樹 柰樹
牛妳 牛奶
淫雨 霪雨
婬雨 霪雨
婬風 淫风
旃旜 栴檀
苟𣏌 枸杞
矇𥋾
栖栖 栖栖
栖遑 栖遑
栖栖遑遑 栖栖遑遑
栖皇 栖遑
喧嘩 喧嘩
諠嘩 喧嘩
諠譁 喧嘩
䐗膓 肚膓
猪䐗 猪肚
