〇 ○ U+3007 U+25CB
凡 凢 U+51E1 U+51E2
幺 么 U+5E7A U+4E48
才 纔 U+624D U+7E94
丑 丒 U+4E11 U+4E12
冗 宂 U+5197 U+5B82
戶 户 U+6236 U+6237
冊 册 U+518A U+518C
刊 刋 U+520A U+520B
朮 术 U+672E U+672F
丟 丢 U+4E1F U+4E22
仿 倣 U+4EFF U+5023
冰 氷 U+51B0 U+6C37
回 囘 U+56DE U+56D8
并 幷 U+5E76 U+5E77
朵 朶 U+6735 U+6736
污 汙 U+6C61 U+6C59
考 攷 U+8003 U+6537
幵 开 U+5E75 U+5F00
兌 兑 U+514C U+5151
別 别 U+5225 U+522B
劫 刦 U+52AB U+5226
即 卽 U+5373 U+537D
吞 呑 U+541E U+5451
吳 吴 U+5433 U+5434
呂 吕 U+5442 U+5415
吻 脗 U+543B U+8117
囪 囱 U+56EA U+56F1
妝 粧 U+599D U+7CA7
妒 妬 U+5992 U+59AC
姊 姉 U+59CA U+59C9
步 歩 U+6B65 U+6B69
決 决 U+6C7A U+51B3
沖 冲 U+6C96 U+51B2
沒 没 U+6C92 U+6CA1
灶 竈 U+7076 U+7AC8
豆 荳 U+8C46 U+8373
巡 廵 U+5DE1 U+5EF5
併 倂 U+4F75 U+5002
兩 两 U+5169 U+4E24
券 劵 U+5238 U+52B5
協 恊 U+5354 U+604A
咒 呪 U+5492 U+546A
妹 妺 U+59B9 U+59BA
屆 届 U+5C46 U+5C4A
岩 巖 U+5CA9 U+5DD6
拗 抝 U+62D7 U+629D
抬 擡 U+62AC U+64E1
牀 床 U+7240 U+5E8A
泄 洩 U+6CC4 U+6D29
況 况 U+6CC1 U+51B5
爭 争 U+722D U+4E89
肴 餚 U+80B4 U+991A
臥 卧 U+81E5 U+5367
青 靑 U+9752 U+9751
俞 兪 U+4FDE U+516A
剎 刹 U+524E U+5239
剋 尅 U+524B U+5C05
勇 勈 U+52C7 U+52C8
卻 却 U+537B U+5374
姪 侄 U+59EA U+4F84
姸 妍 U+59F8 U+598D
彥 彦 U+5F65 U+5F66
恆 恒 U+6046 U+6052
怱 匆 U+6031 U+5306
既 旣 U+65E2 U+65E3
枴 柺 U+67B4 U+67FA
査 查 U+67FB U+67E5
柏 栢 U+67CF U+6822
洶 汹 U+6D36 U+6C79
迪 廸 U+8FEA U+5EF8
迫 廹 U+8FEB U+5EF9
值 値 U+503C U+5024
冤 寃 U+51A4 U+5BC3
姬 姫 U+59EC U+59EB
峰 峯 U+5CF0 U+5CEF
恥 耻 U+6065 U+803B
悅 悦 U+6085 U+60A6
捏 揑 U+634F U+63D1
效 効 U+6548 U+52B9
晉 晋 U+6649 U+664B
涅 湼 U+6D85 U+6E7C
眞 真 U+771E U+771F
砲 礮 U+7832 U+792E
祕 秘 U+7955 U+79D8
耽 躭 U+803D U+8EAD
脈 脉 U+8108 U+8109
迺 廼 U+8FFA U+5EFC
迴 廻 U+8FF4 U+5EFB
陝 陜 U+965D U+965C
鬥 鬬 U+9B25 U+9B2C
乾 亁 U+4E7E U+4E81
假 仮 U+5047 U+4EEE
夠 够 U+5920 U+591F
專 専 U+5C08 U+5C02
庵 菴 U+5EB5 U+83F4
強 强 U+5F37 U+5F3A
徠 倈 U+5FA0 U+5008
掛 挂 U+639B U+6302
啟 啓 U+555F U+5553
敎 教 U+654E U+6559
敘 叙 U+6558 U+53D9
敕 勅 U+6555 U+52C5
涼 凉 U+6DBC U+51C9
淒 凄 U+6DD2 U+51C4
淨 凈 U+6DE8 U+51C8
產 産 U+7522 U+7523
略 畧 U+7565 U+7567
眾 衆 U+773E U+8846
硏 研 U+784F U+7814
紮 紥 U+7D2E U+7D25
缽 鉢 U+7F3D U+9262
脣 唇 U+8123 U+5507
莓 苺 U+8393 U+82FA
蛋 疍 U+86CB U+758D
軟 輭 U+8EDF U+8F2D
麻 蔴 U+9EBB U+8534
場 塲 U+5834 U+5872
廁 厠 U+5EC1 U+53A0
