# CB码, 原文字形, 近似字形, 正字, 组字式, 词频
16765,,,薩,[薩-產+(辛/工)],13839
29911,,,々,[乞-乙+、],3698
31293,,荅,答,[前-刖+合],3660
17237,𤣩,,,[王*　],2362
23001,叄,,,[參-(彰-章)+三],1450
22066,鉢,,,[錛-廾],1428
04974,,麁,麤,[夕/鹿],1379
00754,,蘖,,[卄/(阿-可+辛)/木],1242
01008,𫨻,,段,[(暇-日)-(己-(乳-孚))+几],1100
13593,𪫬,,性,[怡-台+主],1086
21942,,,婬,[婬-壬+(工/山)],974
26762,𮗚,,觀,[(共-八+隹)*見],770
30246,,,收,[(冰-水+〡)*ㄆ],725
26288,,丑,,[(巨-匚)@十],702
30298,畱,,留,[一/(匚*〡*〡*(巨-匚))/田],690
21166,,𥝝,,[禾/亍],639
15090,𪹼,,爆,[焊-干+恭],619
25451,𭰹,,深,[泳-永+冞],594
15164,𮨇,,顧,[(厂@((既-旡)-日+口))*頁],583
02133,𮈔,,,[糸*系],551
07560,,䋄,網,[絅-口+又],522
29647,𮞒,,違,[這-言+(素-糸+ㄆ)],451
10324,,,癹,[癹-几+口],449
15325,逓,,遞,[逅-口+巿],435
31822,,,依,[糸*ㄉ],413
30190,𦔳,,,[耳*力],397
30229,𨵿,,關,[關-丱+廾],377
01040,𭪿,,,[此/束],376
15439,𮦷,,靂,[靂-秝+林],375
00746,,𦋇,罩,[(ㄇ@人)/卓],373
31821,,无,無,[干-〡+儿],371
29874,𮦀,,雜,[新-斤+隹],368
23301,,方,,[〦/力],363
13415,,愽,博,[怙-口+(田/寸)],349
02082,賔,,賓,[實-毌+尸],339
29854,𮥷,,離,[文*隹],333
13287,,𢕄,微,[微-兀+(舛-夕)],324
17715,𭣦,,殺,[煞-(烈-列)],322
06171,𮞏,,遞,[逅-口+巾],320
08960,,,凌,[這-言+夌],314
32048,囘,,,[同-(一/口)+巳],312
00224,𭹳,,,[王*梨],307
00047,𭉨,,,[口*(隹/乃)],304
33279,,䟽,疏,[跮-土+(荒-芒)],302
02189,,瘞,,[療-(日/小)+土],285
29924,𭇥,,含,[合-一+(采-木)],283
30274,㓕,,滅,[冰-水+(威-女+火)],283
03340,,啣,銜,[啣-止+山],279
17796,,印,,[(留-田)-刀+ㄗ],279
04622,𫑮,,,[邱-丘+(厂@墨)],263
10830,,,數,[婁*殳],263
10485,𪪺,,,[弓*口],263
30130,,徔,從,[彳*(前-刖+之)],260
31956,𡧤,,寂,[完-兀+勿],258
30133,,𠯣,足,[口/(之-、)],253
15539,,,梆,[木*魚],252
15903,,𮏩,業,[葉-世+廿],251
30226,𡚖,,歸,[歸-止+大],248
30058,㝠,,,[宴-女+六],247
06871,𭜨,,,[死/心],244
08762,,穴,,[宋-木+儿],244
21692,,,,[口*𡿪],233
13092,,毋,,[母-(、/、)+〡],223
04223,𭁵,,寇,[冠-寸+ㄆ],218
04165,,嬾,,[娕*頁],217
12428,畱,,留,[堊-王+田],216
01513,,,坼,[土*(厂@干)],216
14374,,,具,[且/八],212
30579,,虗,虛,[皮-(〡/又)+(王/丘)],210
28938,𠫭,,參,[畚-田+小],210
15166,䝉,,蒙,[蒙-卄+((並-(前-刖))-一)],208
15167,𬂔,,朦,[朦-卄+((並-(前-刖))-一)],207
17097,,,況,[工*兄],204
00571,𬧅,,,[跳-兆+尃],200
30284,廽,,迴,[廷-壬+(面-(百-日))],199
30076,𡨜,,寂,[宋-木+(廾@?)],197
13059,,𩮺,鬘,[鬘-又+万],195
31969,,麁,,[色-巴+(鹿-比+(人*人))],195
09274,,,丹,[舟-(白-日)],189
30207,,脚,腳,[邱-丘+胠],188
02598,𬉹,,炙,[夕/火],188
13402,,踏,,[跍-十+水],187
32289,,,失,[先-儿+八],184
01919,糓,,穀,[穀-(一/禾)+釆],181
00834,𭶑,,,[烈-列+(里*吉)],175
02735,,𡃤,,[口*束*頁],175
30904,号,,號,[口/(十-〡+ㄅ)],174
31384,,,決,[(暴-(日/共))/又],167
04249,,㡌,帽,[幌-光+月],166
32128,𮏩,,業,[卄/廿/未],163
26362,,,妄,[(匚@一)/女],160
30236,𫟍,,苑,[蕵-食+匕],160
29978,𭄿,,勸,[(共-八+隹)*力],159
30059,𥳑,,簡,[簡-日+月],159
06608,,斥,,[后-口+十],159
29958,,指,,[指-匕+ㄙ],158
32588,,㬅,曼,[日/皿/力],154
06224,藳,,,[葶-丁+呆],152
31864,,,障,[障-日+田],152
02594,𮧬,,,[革*(卄/(ㄇ@人)/戊)],149
07140,,,蚩,[山/虫],149
03020,,滛,淫,[泳-永+(瑤-王)],146
27727,,摶,,[打-丁+(十/田/寸)],145
30478,,𡖋,亦,[烈-列+(夕-、)],144
07148,,弃,,[云/廾],144
00706,𭡠,,捺,[打-丁+柰],141
32589,𫴰,,對,[(共/王)*寸],141
26758,,揔,,[(打-丁+匆)/心],141
05321,𮊁,,罟,[(ㄇ@人)/古],140
15076,,,喏,[妳-女+口],138
30042,𫝑,,,[執/力],137
03947,,𮇬,隸,[(上/天)*(企-止+米)],135
09621,,,捷,[擴-黃+(建-干+├)],134
