㖈 䎛 U+3588 U+439B
㗉 䂮 U+35C9 U+40AE
㲖 𣭱 U+3C96 U+23B71
㲲 𧟕 U+3CB2 U+277D5
㲲 𣯉 U+3CB2 U+23BC9
㲲 𣮨 U+3CB2 U+23BA8
㲲 𬇇 U+3CB2 U+2C1C7
㲲 𣰸 U+3CB2 U+23C38
㲲 氎 U+3CB2 U+6C0E
㲲 𣰭 U+3CB2 U+23C2D
㾜 𤷾 U+3F9C U+24DFE
䂎 𥎞 U+408E U+2539E
䓄 𦳍 U+44C4 U+26CCD
䓄 𦱄 U+44C4 U+26C44
䓄 𦻨 U+44C4 U+26EE8
䖵 蜫 U+45B5 U+872B
䳅 𩿦 U+4CC5 U+29FE6
丁 𠆤 U+4E01 U+201A4
上 𠄞 U+4E0A U+2011E
上 丄 U+4E0A U+4E04
下 𠄟 U+4E0B U+2011F
下 丅 U+4E0B U+4E05
不 𠙐 U+4E0D U+20650
不 𠀚 U+4E0D U+2001A
丐 匄 U+4E10 U+5304
丐 匃 U+4E10 U+5303
丐 𠣏 U+4E10 U+208CF
丐 𠣣 U+4E10 U+208E3
丑 丒 U+4E11 U+4E12
丑 𠃠 U+4E11 U+200E0
且 𠀇 U+4E14 U+20007
且 𠀃 U+4E14 U+20003
丕 㔻 U+4E15 U+353B
世 卋 U+4E16 U+534B
世 丗 U+4E16 U+4E17
世 𠀍 U+4E16 U+2000D
丘 𡊣 U+4E18 U+212A3
丘 𠀉 U+4E18 U+20009
丘 𠀌 U+4E18 U+2000C
丘 㐀 U+4E18 U+3400
丘 丠 U+4E18 U+4E20
丞 𤉋 U+4E1E U+2424B
丟 丢 U+4E1F U+4E22
並 𡘋 U+4E26 U+2160B
並 幷 U+4E26 U+5E77
中 𠁧 U+4E2D U+20067
中 𠁩 U+4E2D U+20069
丱 卝 U+4E31 U+535D
丸 𠁽 U+4E38 U+2007D
丹 𠕑 U+4E39 U+20551
丹 𠁿 U+4E39 U+2007F
丹 㣋 U+4E39 U+38CB
乃 𠧤 U+4E43 U+209E4
乃 𠚝 U+4E43 U+2069D
乃 𢎧 U+4E43 U+223A7
乃 𠄕 U+4E43 U+20115
乃 𢏩 U+4E43 U+223E9
乃 𠄎 U+4E43 U+2010E
乃 廼 U+4E43 U+5EFC
久 乆 U+4E45 U+4E46
之 㞢 U+4E4B U+37A2
之 𠔇 U+4E4B U+20507
之 𡳿 U+4E4B U+21CFF
乏 𠓟 U+4E4F U+204DF
乖 𦮃 U+4E56 U+26B83
乖 𠁰 U+4E56 U+20070
乖 𠂯 U+4E56 U+200AF
乘 𠓲 U+4E58 U+204F2
乘 𠓸 U+4E58 U+204F8
乘 𠅞 U+4E58 U+2015E
乘 乗 U+4E58 U+4E57
九 𢌬 U+4E5D U+2232C
乞 𠧒 U+4E5E U+209D2
也 𠃟 U+4E5F U+200DF
乾 𨺩 U+4E7E U+28EA9
乾 𠃵 U+4E7E U+200F5
乾 𠄋 U+4E7E U+2010B
乾 亁 U+4E7E U+4E81
乾 乹 U+4E7E U+4E79
亂 𠦸 U+4E82 U+209B8
亂 乱 U+4E82 U+4E71
亂 𠮗 U+4E82 U+20B97
亂 𠧏 U+4E82 U+209CF
亂 𠧎 U+4E82 U+209CE
事 亊 U+4E8B U+4E8A
事 叓 U+4E8B U+53D3
事 𠭏 U+4E8B U+20B4F
事 㕝 U+4E8B U+355D
于 扵 U+4E8E U+6275
互 𠀕 U+4E92 U+20015
互 𢆰 U+4E92 U+221B0
互 㸦 U+4E92 U+3E26
五 𠄡 U+4E94 U+20121
五 㐅 U+4E94 U+3405
亙 𣕲 U+4E99 U+23572
亙 㮓 U+4E99 U+3B93
些 㱔 U+4E9B U+3C54
亞 亜 U+4E9E U+4E9C
亞 䢝 U+4E9E U+489D
亞 𠄮 U+4E9E U+2012E
亟 𤊅 U+4E9F U+24285
亡 亾 U+4EA1 U+4EBE
亡 兦 U+4EA1 U+5166
交 䢒 U+4EA4 U+4892
亦 𠅃 U+4EA6 U+20143
亦 𡖋 U+4EA6 U+2158B
亨 𠅖 U+4EA8 U+20156
亨 亯 U+4EA8 U+4EAF
享 𠅠 U+4EAB U+20160
京 𢂋 U+4EAC U+2208B
京 𦣿 U+4EAC U+268FF
京 𡬱 U+4EAC U+21B31
京 亰 U+4EAC U+4EB0
人 𤯔 U+4EBA U+24BD4
人 𦉫 U+4EBA U+2626B
人 𠔽 U+4EBA U+2053D
仁 忎 U+4EC1 U+5FCE
仁 忈 U+4EC1 U+5FC8
仂 働 U+4EC2 U+50CD
仙 僊 U+4ED9 U+50CA
仙 𠑗 U+4ED9 U+20457
仙 㒨 U+4ED9 U+34A8
仞 仭 U+4EDE U+4EED
以 㠯 U+4EE5 U+382F
价 㑘 U+4EF7 U+3458
任 仼 U+4EFB U+4EFC
企 𠈮 U+4F01 U+2022E
伊 𠈽 U+4F0A U+2023D
伊 𠁼 U+4F0A U+2007C
伊 𠜰 U+4F0A U+20730
伊 𦯴 U+4F0A U+26BF4
休 𠇲 U+4F11 U+201F2
伭 𠆺 U+4F2D U+201BA
似 𠚦 U+4F3C U+206A6
佇 㑏 U+4F47 U+344F
佇 竚 U+4F47 U+7ADA
低 𠇓 U+4F4E U+201D3
低 仾 U+4F4E U+4EFE
低 𢘢 U+4F4E U+22622
低 𠍪 U+4F4E U+2036A
佛 仏 U+4F5B U+4ECF
佛 𠇛 U+4F5B U+201DB
佛 𦤲 U+4F5B U+26932
佛 𫢋 U+4F5B U+2B88B
佛 𠑵 U+4F5B U+20475
作 㑅 U+4F5C U+3445
佞 侫 U+4F5E U+4FAB
你 你 U+4F60 U+2F804
你 伱 U+4F60 U+4F31
你 𤙌 U+4F60 U+2464C
你 伲 U+4F60 U+4F32
併 倂 U+4F75 U+5002
併 𠊧 U+4F75 U+202A7
佾 𢔍 U+4F7E U+2250D
使 𠭆 U+4F7F U+20B46
使 𠉕 U+4F7F U+20255
侂 𠈁 U+4F82 U+20201
侃 𠈉 U+4F83 U+20209
來 来 U+4F86 U+6765
侈 𠈎 U+4F88 U+2020E
侐 䦗 U+4F90 U+4997
侮 㑄 U+4FAE U+3444
侯 𥎦 U+4FAF U+253A6
侵 𢔀 U+4FB5 U+22500
侵 㑴 U+4FB5 U+3474
侶 侣 U+4FB6 U+4FA3
便 𠊳 U+4FBF U+202B3
俁 㑨 U+4FC1 U+3468
俊 㒞 U+4FCA U+349E
俊 㑺 U+4FCA U+347A
俊 儁 U+4FCA U+5101
俊 㑓 U+4FCA U+3453
俎 爼 U+4FCE U+723C
俓 𠇹 U+4FD3 U+201F9
