腌 骯 U+814C U+9AAF
唉 欸 U+5509 U+6B38
庵 菴 U+5EB5 U+83F4
骯 腌 U+9AAF U+814C
鼇 鰲 U+9F07 U+9C32
垻 壩 U+57BB U+58E9
耙 鈀 U+8019 U+9200
搬 搫 U+642C U+642B
版 板 U+7248 U+677F
勹 包 U+52F9 U+5305
胞 脬 U+80DE U+812C
刨 鉋 U+5228 U+924B
暴 虣 U+66B4 U+8663
杯 盃 U+676F U+76C3
萆 蓖 U+8406 U+84D6
背 絣 U+80CC U+7D63
坌 坋 U+574C U+574B
偪 逼 U+506A U+903C
痺 痹 U+75FA U+75F9
芘 蔽 U+8298 U+853D
扁 艑 U+6241 U+8251
碥 扁 U+78A5 U+6241
抃 拚 U+6283 U+62DA
辨 辯 U+8FA8 U+8FAF
釆 采 U+91C6 U+91C7
膘 臕 U+8198 U+81D5
鑣 鏢 U+9463 U+93E2
斌 彬 U+658C U+5F6C
髕 臏 U+9AD5 U+81CF
秉 拼 U+79C9 U+62FC
并 並 U+5E76 U+4E26
摒 拼 U+6452 U+62FC
勃 艴 U+52C3 U+8274
箔 泡 U+7B94 U+6CE1
駮 駁 U+99EE U+99C1
擗 劈 U+64D7 U+5288
布 佈 U+5E03 U+4F48
部 卩 U+90E8 U+5369
才 纔 U+624D U+7E94
跴 踹 U+8DF4 U+8E39
蚕 蠶 U+8695 U+8836
喿 噪 U+55BF U+566A
蹭 矰 U+8E6D U+77F0
扠 搋 U+6260 U+640B
# 楂 查 U+6942 U+67E5
柴 茈 U+67F4 U+8308
襜 襝 U+895C U+895D
嚵 饞 U+56B5 U+995E
場 塲 U+5834 U+5872
氅 鷩 U+6C05 U+9DE9
剿 勦 U+527F U+52E6
晁 朝 U+6641 U+671D
扯 撦 U+626F U+64A6
撦 扯 U+64A6 U+626F
澈 徹 U+6F88 U+5FB9
沉 沈 U+6C89 U+6C88
沉 瀋 U+6C89 U+700B
陳 陣 U+9673 U+9663
儭 襯 U+512D U+896F
稱 秤 U+7A31 U+79E4
檉 柳 U+6A89 U+67F3
瞠 瞪 U+77A0 U+77AA
秤 稱 U+79E4 U+7A31
吃 喫 U+5403 U+55AB
喫 吃 U+55AB U+5403
湧 涌 U+6E67 U+6D8C
讎 仇 U+8B8E U+4EC7
鉏 鋤 U+924F U+92E4
雛 鶵 U+96DB U+9DB5
川 巛 U+5DDD U+5DDB
舡 船 U+8221 U+8239
船 舡 U+8239 U+8221
橦 幢 U+6A66 U+5E62
捶 搥 U+6376 U+6425
捶 箠 U+6376 U+7BA0
錘 鎚 U+9318 U+939A
唇 脣 U+5507 U+8123
蠢 惷 U+8822 U+60F7
醊 餟 U+918A U+991F
跐 跴 U+8DD0 U+8DF4
莿 刺 U+83BF U+523A
総 總 U+7DCF U+7E3D
酢 榨 U+9162 U+69A8
崔 磪 U+5D14 U+78EA
吋 寸 U+540B U+5BF8
挫 繲 U+632B U+7E72
銼 剉 U+92BC U+5249
搭 搨 U+642D U+6428
答 荅 U+7B54 U+8345
荅 答 U+8345 U+7B54
疸 癉 U+75B8 U+7649
呆 騃 U+5446 U+9A03
呆 獃 U+5446 U+7343
迨 逮 U+8FE8 U+902E
撢 撣 U+64A2 U+64A3
啖 啗 U+5556 U+5557
淡 澹 U+6DE1 U+6FB9
澹 淡 U+6FB9 U+6DE1
蛋 蜑 U+86CB U+8711
欓 檔 U+6B13 U+6A94
搗 擣 U+6417 U+64E3
禱 禂 U+79B1 U+7982
德 惪 U+5FB7 U+60EA
豋 登 U+8C4B U+767B
嶝 磴 U+5D9D U+78F4
羝 牴 U+7F9D U+7274
笛 篴 U+7B1B U+7BF4
牴 牴 U+7274 U+7274
觝 牴 U+89DD U+7274
敁 拈 U+6541 U+62C8
癲 瘨 U+7672 U+7628
店 坫 U+5E97 U+576B
彫 鵰 U+5F6B U+9D70
蜨 蝶 U+8728 U+8776
蝶 蜨 U+8776 U+8728
迭 疊 U+8FED U+758A
豆 荳 U+8C46 U+8373
惇 敦 U+60C7 U+6566
掇 挽 U+6387 U+633D
柁 舵 U+67C1 U+8235
舵 柁 U+8235 U+67C1
囮 諤 U+56EE U+8AE4
厄 阨 U+5384 U+9628
堊 聖 U+580A U+8056
諤 囮 U+8AE4 U+56EE
阨 呃 U+9628 U+5443
誒 唉 U+8A92 U+5509
摁 恩 U+6441 U+6069
尒 爾 U+5C12 U+723E
幡 旛 U+5E61 U+65DB
番 蹯 U+756A U+8E6F
繙 翻 U+7E59 U+7FFB
翻 繙 U+7FFB U+7E59
汎 泛 U+6C4E U+6CDB
仿 倣 U+4EFF U+5023
彷 仿 U+5F77 U+4EFF
髣 彷 U+9AE3 U+5F77
分 份 U+5206 U+4EFD
份 彬 U+4EFD U+5F6C
豐 豊 U+8C50 U+8C4A
缶 罐 U+7F36 U+7F50
孚 孵 U+5B5A U+5B75
菔 蔔 U+83D4 U+8514
撫 拊 U+64AB U+62CA
莆 蒲 U+8386 U+84B2
頫 俯 U+982B U+4FEF
复 復 U+590D U+5FA9
複 復 U+8907 U+5FA9
旮 旭 U+65EE U+65ED
垓 陔 U+5793 U+9654
摡 溉 U+6461 U+6E89
趕 赶 U+8D95 U+8D76
岡 崗 U+5CA1 U+5D17
杠 槓 U+6760 U+69D3
睾 皋 U+777E U+768B
攪 搞 U+652A U+641E
咯 詻 U+54AF U+8A7B
肐 胳 U+8090 U+80F3
輵 轕 U+8F35 U+8F55
箇 個 U+7B87 U+500B
骾 鯁 U+9ABE U+9BC1
鯁 骾 U+9BC1 U+9ABE
篢 槓 U+7BE2 U+69D3
廾 廿 U+5EFE U+5EFF
摃 扛 U+6443 U+625B
勾 句 U+52FE U+53E5
苟 茍 U+82DF U+830D
箍 箛 U+7B8D U+7B9B
菇 菰 U+83C7 U+83F0
蛌 蛄 U+86CC U+86C4
僱 雇 U+50F1 U+96C7
寡 關 U+5BE1 U+95DC
掛 挂 U+639B U+6302
枴 拐 U+67B4 U+62D0
枴 柺 U+67B4 U+67FA
管 筦 U+7BA1 U+7B66
鑵 罐 U+9475 U+7F50
珪 圭 U+73EA U+572D
檜 栝 U+6A9C U+681D
櫃 柜 U+6AC3 U+67DC
炅 耿 U+7085 U+803F
聝 馘 U+805D U+9998
咳 欬 U+54B3 U+6B2C
唅 含 U+5505 U+542B
扞 捍 U+625E U+634D
釬 銲 U+91EC U+92B2
桁 航 U+6841 U+822A
薅 茠 U+8585 U+8320
諕 唬 U+8AD5 U+552C
澔 浩 U+6F94 U+6D69
秏 耗 U+79CF U+8017
耗 秏 U+8017 U+79CF
訶 呵 U+8A36 U+5475
合 閤 U+5408 U+95A4
和 龢 U+548C U+9FA2
核 覈 U+6838 U+8988
涸 凅 U+6DB8 U+51C5
闔 閤 U+95D4 U+95A4
龢 和 U+9FA2 U+548C
嘿 默 U+563F U+9ED8
魟 鰩 U+9B5F U+9C29
灴 烘 U+7074 U+70D8
呼 謼 U+547C U+8B3C
虖 呼 U+8656 U+547C
楜 胡 U+695C U+80E1
糊 胡 U+7CCA U+80E1
葫 胡 U+846B U+80E1
蝴 胡 U+8774 U+80E1
冱 沍 U+51B1 U+6C8D
花 蘤 U+82B1 U+8624
劃 划 U+5283 U+5212
崋 華 U+5D0B U+83EF
譁 嘩 U+8B41 U+5629
划 劃 U+5212 U+5283
怀 懷 U+6000 U+61F7
坏 坯 U+574F U+576F
讙 歡 U+8B99 U+6B61
鍰 鐶 U+9370 U+9436
浣 澣 U+6D63 U+6FA3
堭 隍 U+582D U+968D
徨 遑 U+5FA8 U+9051
輝 煇 U+8F1D U+7147
迴 回 U+8FF4 U+56DE
卉 芔 U+5349 U+8294
彗 篲 U+5F57 U+7BF2
繢 繪 U+7E62 U+7E6A
餛 餫 U+991B U+992B
伙 夥 U+4F19 U+5925
檴 穫 U+6AB4 U+7A6B
丌 其 U+4E0C U+5176
羇 羈 U+7F87 U+7F88
踦 犄 U+8E26 U+7284
蹟 跡 U+8E5F U+8DE1
躋 隮 U+8E8B U+96AE
飢 饑 U+98E2 U+9951
极 極 U+6781 U+6975
耤 藉 U+8024 U+85C9
藉 耤 U+85C9 U+8024
家 傢 U+5BB6 U+50A2
唊 硤 U+550A U+7864
榎 檟 U+698E U+6A9F
檟 斝 U+6A9F U+659D
牋 箋 U+724B U+7B8B
間 閒 U+9593 U+9592
剪 翦 U+526A U+7FE6
簡 耕 U+7C21 U+8015
薦 荐 U+85A6 U+8350
鑑 鑒 U+9451 U+9452
閒 間 U+9592 U+9593
嬌 撟 U+5B0C U+649F
揭 結 U+63ED U+7D50
街 亍 U+8857 U+4E8D
杰 傑 U+6770 U+5091
斤 觔 U+65A4 U+89D4
襟 衿 U+895F U+887F
堇 菫 U+5807 U+83EB
賮 贐 U+8CEE U+8D10
井 丼 U+4E95 U+4E3C
儆 警 U+5106 U+8B66
阱 汫 U+9631 U+6C6B
俓 勁 U+4FD3 U+52C1
凈 淨 U+51C8 U+6DE8
淨 凈 U+6DE8 U+51C8
逕 徑 U+9015 U+5F91
炯 烱 U+70AF U+70F1
烱 炯 U+70F1 U+70AF
褧 絅 U+8927 U+7D45
揪 揫 U+63EA U+63EB
趄 跙 U+8D84 U+8DD9
匊 掬 U+530A U+63AC
咀 嘴 U+5480 U+5634
跙 趄 U+8DD9 U+8D84
踽 偊 U+8E3D U+504A
寠 窶 U+5BE0 U+7AB6
窶 寠 U+7AB6 U+5BE0
鉅 巨 U+9245 U+5DE8
卷 捲 U+5377 U+6372
狷 獧 U+72F7 U+7367
屩 蹺 U+5C69 U+8E7A
掘 撅 U+6398 U+6485
譎 憰 U+8B4E U+61B0
浚 濬 U+6D5A U+6FEC
欬 咳 U+6B2C U+54B3
埳 坎 U+57F3 U+574E
