矮 躷 U+77EE U+8EB7
曖 瞹 U+66D6 U+77B9
礙 碍 U+7919 U+788D
鞍 鞌 U+978D U+978C
卬 卭 U+536C U+536D
凹 𠕄 U+51F9 U+20544
摮 𢳆 U+646E U+22CC6
翱 翺 U+7FF1 U+7FFA
奧 奥 U+5967 U+5965
豝 羓 U+8C5D U+7F93
拔 抜 U+62D4 U+629C
霸 覇 U+9738 U+8987
拜 拝 U+62DC U+62DD
敗 䢙 U+6557 U+4899
頒 朌 U+9812 U+670C
辦 办 U+8FA6 U+529E
幫 幚 U+5E6B U+5E5A
搒 挷 U+6412 U+6337
褒 襃 U+8912 U+8943
褓 緥 U+8913 U+7DE5
報 报 U+5831 U+62A5
備 俻 U+5099 U+4FFB
備 偹 U+5099 U+5079
奔 犇 U+5954 U+7287
本 夲 U+672C U+5932
笨 㤒 U+7B28 U+3912
繃 綳 U+7E43 U+7DB3
秕 粃 U+79D5 U+7C83
弊 𡚁 U+5F0A U+21681
閉 閇 U+9589 U+9587
邊 边 U+908A U+8FB9
邊 辺 U+908A U+8FBA
邊 邉 U+908A U+9089
忭 昪 U+5FED U+662A
變 变 U+8B8A U+53D8
遍 徧 U+904D U+5FA7
憋 𢠳 U+618B U+22833
鱉 鼈 U+9C49 U+9F08
別 别 U+5225 U+522B
檳 㯽 U+6AB3 U+3BFD
檳 梹 U+6AB3 U+68B9
賓 賔 U+8CD3 U+8CD4
臏 髌 U+81CF U+9ACC
鬢 鬂 U+9B22 U+9B02
冰 氷 U+51B0 U+6C37
柄 棅 U+67C4 U+68C5
餅 餠 U+9905 U+9920
並 幷 U+4E26 U+5E77
併 倂 U+4F75 U+5002
并 幷 U+5E76 U+5E77
摒 屛 U+6452 U+5C5B
缽 鉢 U+7F3D U+9262
缽 钵 U+7F3D U+94B5
博 愽 U+535A U+613D
柏 栢 U+67CF U+6822
泊 泺 U+6CCA U+6CFA
舶 艊 U+8236 U+824A
蘗 檘 U+8617 U+6A98
步 歩 U+6B65 U+6B69
財 㒲 U+8CA1 U+34B2
參 叄 U+53C3 U+53C4
參 叅 U+53C3 U+53C5
參 薓 U+53C3 U+8593
餐 飡 U+9910 U+98E1
慚 慙 U+615A U+6159
憯 㦧 U+61AF U+39A7
朁 㬱 U+6701 U+3B31
藏 蔵 U+85CF U+8535
嘈 䜊 U+5608 U+470A
曹 曺 U+66F9 U+66FA
冊 册 U+518A U+518C
廁 厕 U+5EC1 U+5395
廁 厠 U+5EC1 U+53A0
策 筞 U+7B56 U+7B5E
曾 曽 U+66FE U+66FD
察 詧 U+5BDF U+8A67
查 査 U+67E5 U+67FB
剎 刹 U+524E U+5239
豺 犲 U+8C7A U+72B2
單 単 U+55AE U+5358
單 单 U+55AE U+5355
剷 剗 U+5277 U+5257
產 産 U+7522 U+7523
懺 懴 U+61FA U+61F4
嘗 甞 U+5617 U+751E
腸 膓 U+8178 U+8193
廠 厰 U+5EE0 U+53B0
惝 𢠵 U+60DD U+22835
巢 巣 U+5DE2 U+5DE3
娠 㛛 U+5A20 U+36DB
諶 訦 U+8AF6 U+8A26
捵 䥀 U+6375 U+4940
趁 趂 U+8D81 U+8D82
撐 撑 U+6490 U+6491
赬 䞓 U+8D6C U+4793
乘 乗 U+4E58 U+4E57
塍 堘 U+584D U+5818
懲 惩 U+61F2 U+60E9
痴 癡 U+75F4 U+7661
沱 沲 U+6CB1 U+6CB2
篪 竾 U+7BEA U+7AFE
遲 遅 U+9072 U+9045
恥 耻 U+6065 U+803B
敕 勅 U+6555 U+52C5
斥 㡿 U+65A5 U+387F
翅 翄 U+7FC5 U+7FC4
赤 𤆍 U+8D64 U+2418D
沖 冲 U+6C96 U+51B2
衝 𧘂 U+885D U+27602
寵 𠖥 U+5BF5 U+205A5
抽 𢭆 U+62BD U+22B46
仇 讐 U+4EC7 U+8B90
仇 雠 U+4EC7 U+96E0
酬 酧 U+916C U+9167
酬 醻 U+916C U+91BB
丑 丒 U+4E11 U+4E12
出 岀 U+51FA U+5C80
廚 厨 U+5EDA U+53A8
芻 𦷝 U+82BB U+26DDD
芻 蒭 U+82BB U+84AD
楚 椘 U+695A U+6918
處 処 U+8655 U+51E6
刱 剏 U+5231 U+524F
創 剙 U+5275 U+5259
囪 囱 U+56EA U+56F1
床 牀 U+5E8A U+7240
蓴 蒓 U+84F4 U+8493
醇 䣩 U+9187 U+48E9
啜 諁 U+555C U+8AC1
骴 𦙼 U+9AB4 U+2667C
慈 㤵 U+6148 U+3935
瓷 甆 U+74F7 U+7506
刺 刾 U+523A U+523E
蛓 螆 U+86D3 U+8786
匆 悤 U+5306 U+60A4
從 从 U+5F9E U+4ECE
從 従 U+5F9E U+5F93
聰 聡 U+8070 U+8061
聰 聦 U+8070 U+8066
蔥 葱 U+8525 U+8471
驄 騘 U+9A44 U+9A18
叢 樷 U+53E2 U+6A37
潀 潨 U+6F40 U+6F68
湊 凑 U+6E4A U+51D1
卒 䘚 U+5352 U+461A
卒 卆 U+5352 U+5346
蹴 蹵 U+8E74 U+8E75
攢 攅 U+6522 U+6505
攢 撍 U+6522 U+648D
篡 簒 U+7BE1 U+7C12
倅 伜 U+5005 U+4F1C
悴 忰 U+60B4 U+5FF0
橇 鞽 U+6A47 U+97BD
粹 粋 U+7CB9 U+7C8B
翠 翆 U+7FE0 U+7FC6
村 邨 U+6751 U+90A8
嵯 嵳 U+5D6F U+5D73
褟 溻 U+891F U+6EBB
達 逹 U+9054 U+9039
歹 𣦶 U+6B79 U+239B6
歹 歺 U+6B79 U+6B7A
玳 瑇 U+73B3 U+7447
袋 帒 U+888B U+5E12
靆 叇 U+9746 U+53C7
擔 担 U+64D4 U+62C5
眈 躭 U+7708 U+8EAD
耽 躭 U+803D U+8EAD
膽 胆 U+81BD U+80C6
彈 弾 U+5F48 U+5F3E
蛋 疍 U+86CB U+758D
刀 刂 U+5200 U+5202
島 嶋 U+5CF6 U+5D8B
盜 盗 U+76DC U+76D7
稻 稲 U+7A3B U+7A32
德 悳 U+5FB7 U+60B3
等 朩 U+7B49 U+6729
凳 櫈 U+51F3 U+6AC8
蹢 豴 U+8E62 U+8C74
迪 廸 U+8FEA U+5EF8
遞 逓 U+905E U+9013
巔 巓 U+5DD4 U+5DD3
槙 槇 U+69D9 U+69C7
顛 顚 U+985B U+985A
點 点 U+9EDE U+70B9
蓧 莜 U+84E7 U+839C
疊 叠 U+758A U+53E0
疊 畳 U+758A U+7573
頂 𩠑 U+9802 U+29811
鼎 𪔂 U+9F0E U+2A502
丟 丢 U+4E1F U+4E22
東 东 U+6771 U+4E1C
蚪 虬 U+86AA U+866C
陡 阧 U+9661 U+9627
鬥 鬦 U+9B25 U+9B26
鬥 鬪 U+9B25 U+9B2A
鬥 鬭 U+9B25 U+9B2D
鬥 鬬 U+9B25 U+9B2C
讀 読 U+8B80 U+8AAD
櫝 匵 U+6ADD U+5335
殰 𦢌 U+6BB0 U+2688C
瀆 凟 U+7006 U+51DF
瀆 涜 U+7006 U+6D9C
獨 独 U+7368 U+72EC
睹 覩 U+7779 U+89A9
妒 妬 U+5992 U+59AC
斁 𤢕 U+6581 U+24895
橐 槖 U+6A50 U+69D6
蠹 蠧 U+8839 U+8827
斷 断 U+65B7 U+65AD
鍛 煅 U+935B U+7145
兌 兑 U+514C U+5151
對 对 U+5C0D U+5BF9
多 夛 U+591A U+591B
敪 敠 U+656A U+6560
垛 垜 U+579B U+579C
朵 朶 U+6735 U+6736
躲 躱 U+8EB2 U+8EB1
剁 刴 U+5241 U+5234
跺 跥 U+8DFA U+8DE5
馱 駄 U+99B1 U+99C4
馱 䭾 U+99B1 U+4B7E
婀 娿 U+5A40 U+5A3F
痾 疴 U+75FE U+75B4
峨 峩 U+5CE8 U+5CE9
訛 譌 U+8A1B U+8B4C
鵝 鵞 U+9D5D U+9D5E
惡 悪 U+60E1 U+60AA
厄 戹 U+5384 U+6239
啞 唖 U+555E U+5516
啞 瘂 U+555E U+7602
萼 蕚 U+843C U+855A
諤 讍 U+8AE4 U+8B8D
阨 阸 U+9628 U+9638
鱷 鰐 U+9C77 U+9C10
齶 腭 U+9F76 U+816D
兒 児 U+5152 U+5150
