#CB编号, 通用字, 原字, 組合表示式
CB00003,辯,,[(工*刀)/言]                               
CB00006,璩,𤦲,[(王*巨)/木]                               
CB00009,峻,,[阿-可+(山/(峻-山))]                         
CB00012,,㪺,[(爽-(爻*爻)+(目*目))*斗]                     
CB00014,,𤛓,[(殼-一)/牛]                               
CB00015,,𪄱,[(嫡-女)*鳥]                               
CB00019,,𪙔,[〦/(刀*ㄚ*(留-刀-田))/齒]                     
CB00022,蕀,,[卄/(束*束)]                               
CB00029,,𦱕,[卄/呵]                                   
CB00036,,𧂐,[卄/積]                                   
CB00037,,𦿆,[卄/碭]                                   
CB00042,冀,,[八/異]                                   
CB00043,,𩑔,[乞*頁]                                   
CB00044,虻,䖟,[亡/虫]                                   
CB00045,咂,𠯗,[口*(一/巾)]                               
CB00050,,㕧,[口*尸]                                   
CB00055,,㕮,[口*父]                                   
CB00063,,𠲿,[口*束]                                   
CB00066,,㗌,[口*室]                                   
CB00067,,𠸻,[口*建]                                   
CB00069,,㗚,[口*栗]                                   
CB00070,,𠺕,[口*留]                                   
CB00074,,𠼝,[口*梨]                                   
CB00075,,𢒯,[口*(彪-儿+巾)]                             
CB00079,,㘁,[口*睪]                                   
CB00080,,𡀔,[口*路]                                   
CB00081,銜,㘅,[口*銜]                                   
CB00083,,𡂠,[口*蔡]                                   
CB00084,,𡄇,[口*磬]                                   
CB00086,,𡆗,[口*邏]                                   
CB00088,齶,㗁,[口*咢]                                   
CB00090,,𠷐,[口*恒]                                   
CB00092,墀,𡎰,[土*(尸@辛)]                               
CB00096,,𤬪,[土*瓦]                                   
CB00098,,𡎔,[土*屋]                                   
CB00103,,𡣶,[女*(替-曰+貝)]                             
CB00104,媲,,[女*((奐-大)/比)]                           
CB00112,尼,𡰱,[尸@工]                                   
CB00115,,㟪,[山*畏]                                   
CB00117,澗,𡼏,[山*間]                                   
CB00118,峻,𡺲,[山/(阿-可+(峻-山))]                         
CB00120,,𡻬,[山/族]                                   
CB00121,,𡺿,[山/陵]                                   
CB00128,,㑦,[仁-二+戾]                                 
CB00129,,㑥,[仁-二+易]                                 
CB00134,,㒃,[仁-二+貳]                                 
CB00139,冢,,[冗-几+(一/豖)]                             
CB00145,,㝹,[少/兔]                                   
CB00162,,䏲,[月*弟]                                   
CB00163,,䐗,[月*者]                                   
CB00164,,䐔,[月*扁]                                   
CB00166,傭,𦟛,[月*庸]                                   
CB00170,髀,䏶,[月*坒]                                   
CB00172,,䑎,[月*韱]                                   
CB00178,,㮈,[木*奈]                                   
CB00186,,㯓,[木*翕]                                   
CB00190,,㮏,[木*柰]                                   
CB00191,凶,𣧑,[歹*凶]                                   
CB00192,,𣩠,[歹*斯]                                   
CB00193,暖,𤏙,[火*(而/而)]                               
CB00197,,㶿,[火*孛]                                   
CB00198,,㶼,[火*矣]                                   
CB00205,,㸌,[火*霍]                                   
CB00207,爇,𤋲,[火*苪]                                   
CB00209,,㷿,[火*僉]                                   
CB00211,,𤘽,[牛*句]                                   
CB00212,牂,䍧,[牛*羊]                                   
CB00218,,㻁,[王*回]                                   
CB00220,,㻉,[王*步]                                   
CB00221,,𤥭,[王*車]                                   
